Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Venom Bolt,TBD,TBD,Poison,TBD,Phys,"TBD","Not done yet."
Venom Drench,EOT,/,Poison,,Status,"Cone 2","All Poisoned targets have their Attack, SpecialAttack, and Speed lowered by 1 Combat Stage. VenomDrench cannot miss."
Venoshock,Scene x2,2,Poison,2d6+10 ,Spec,"6, 1 Target","If the target is Poisoned, Venoshock has a of 13 (4d10+10 / 35) instead."
Verdant Edge,Scene x2,/,Grass,,Phys,"","If the move successfully hits the target, the user's Speed is increased by 1 Combat Stage.Additionally, if the user's HP is below half, this move gains +2 to its Accuracy Check."
Vertigo,At-Will,2,Psychic,2d6+10 ,Spec,"6, 1 Target","Vertigo Confuses the target on 15+."
Vexing Void,TBD,TBD,Dark,TBD,Spec,"TBD","A terrifying void engulfs the foe."
Vice Grip,At-Will,2,Bug,2d6+8 ,Phys,"Melee, 1 Target","None"
Victory Dance,EOT,/,Fighting,,Status,"Self","If the user performs a Fighting Move on theirnext turn that deals damage, add its Damage Dice Rollan extra time to the damage. Raise the user's Defense1 Combat Stage."
Vine Whip,At-Will,2,Grass,1d8+6 ,Phys,"4, 1 Target","None"
Viral Strike,TBD,TBD,Poison,TBD,Phys,"TBD","Slams the foe and transfers the user's status."
Vise Grip,TBD,TBD,Bug,TBD,Phys,"TBD","Grips the foe with large and powerful pincers."
Vital Throw,EOT,/,Fighting,2d6+10 ,Phys,"Melee, 1 Target, Push, Reaction","If the user is targeted by a Melee attack and hasnot yet taken a turn this round, the user may declareVital Throw. After the triggering attack is resolved, theuser may use Vital Throw against the triggering foe as aReaction. Vital Throw cannot miss."
Volcalith,Scene,5,Fire,2d8+10 ,Spec,"6, 1 Target","The target is put in a Vortex;"
Volt Bolt,TBD,TBD,Electric,TBD,Phys,"TBD","Not done yet."
Volt Switch,At-Will,2,Electric,2d6+10 ,Spec,"5, 1 Target","If Volt Switch successfully hits its target, theuser deals damage and then immediately is returnedto its Poké Ball in the same turn. A New pokémonmay immediately be sent out. Using Volt Switch lets aTrapped user be recalled."
Volt Tackle,Scene x2,2,Electric,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","Volt Tackle Paralyzes the target on 19+."
Voltage Overload,Daily x2,/,Electric,,Spec,"","Effect:Voltage overload paralyzes on 17+. It also does super effective damage to Electric type pokemonsand additionally when used on an electric type pokemon:After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget.:"
Vortex Blaze,Daily,6,Fire,2d10+10 ,Spec,"4, 1 Target","The target is put in a Vortex;"
Wake-Up Slap,At-Will,2,Fighting,1d8+8 ,Phys,"Melee, 1 Target","If the target is Asleep, Wake-Up Slap has aDB of 10 (3d8+10 / 24) instead, and cures thetarget of Sleep."
Wash Away,At-Will,2,Water,1d8+8 ,Phys,"Melee, 1 Target, Spirit Surge","Wash Away destroys all Hazards within 5meters, removes Leech Seeds, and removes the user'sTrapped or Stuck status. If Wash Away hits, the user'sresets negative stat changes ."
Water Gun,At-Will,2,Water,1d8+6 ,Spec,"4, 1 Target","None"
Water Pledge,Scene x2,2,Water,2d8+10 ,Spec,"6, 1 Target, Pledge","If an ally uses Fire Pledge or Grass Pledge,you may use Water Pledge as Priority (Advanced)immediately after their turn to target the same foe. Ifused in conjunction with Fire Pledge, a Rainbow iscreated that lasts for 5 rounds. If used in conjunctionwith Grass Pledge, the target and all foes adjacent tothe target are slowed and have their Speed reducedby 2 Combat Stages. Consult the Pledge keyword foradditional details."
Water Pulse,At-Will,2,Water,2d6+8 ,Spec,"8, 1 Target, Aura","Water Pulse Confuses the target on 17+."
Water Shuriken,EOT,2,Water,1d6+3 ,Phys,"6, 1 Target, Five Strike, Priority","None"
Water Sport,EOT,/,Water,,Status,"Burst 2, Coat","All targets in the burst, including the user, gaina Coat which grants them 1 Step of Resistance to FireType Moves. After a target has been hit by a damagingFire Type Move, the coat is removed."
Water Spout,Daily,4,Water,4d10+20 ,Spec,"Burst 1*","For each 10% of HP the user is missing, WaterSpout's Damage Base is reduced by 1. Water Spoutcreates a 1 meter burst, but also affects an area 10 meterstall straight up."
Waterfall,EOT,2,Water,2d8+10 ,Phys,"Melee, 1 Target","Waterfall Flinches the target on 17+."
Waterlog,TBD,TBD,Water,TBD,STATUS,"TBD","Target moves last and may be drenched."
Wave Crash,Scene x2,2,Water,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","None"
Wave Dash,At-Will,2,Water,1d8+8 ,Phys,"Melee, 1 Target, Dash","The user may make the DisengageManeuver as a Free Action either rightbefore or after using this Move."
Weather Ball,EOT,2,Normal,1d8+8 ,Spec,"8, 1 Target","If it is Sunny, Weather Ball is Fire-Type. If itis Rainy, Weather Ball is Water-Type. If it is Hailing,Weather Ball is Ice-Type. If it is Sandstorming, WeatherBall is Rock-Type. When a weather effect is on the field,Weather Ball has a Damage Base of 10 (3d8+10 / 24). Ifthere are multiple Weather Effects on the field, chooseone type for Weather Ball to be that corresponds withan existing Weather Effect."
Web Shot,TBD,TBD,Bug,TBD,Phys,"TBD","Not done yet."
Whirling Strikes,TBD,TBD,Flying,TBD,Phys,"TBD","Hits 3 times. Each hit does more damage."
Whirlpool,Scene x2,4,Water,1d8+6 ,Spec,"3, 1 Target","The target is put in a Vortex."
Whirlwind,Scene x2,2,Normal,,Status,"Line 6","All targets are pushed X meters, where X is 8minus their weight class. If the Line targets into aSmokescreen, the smoke is dispersed. All hazards in theWhirlwind are destroyed."
White Punch,At-Will,2,Light,,,"Melee, 1 Target","White Punch blinds the target on 19+ during"
Wicked Blow,EOT,2,Dark,2d6+8 ,Phys,"Melee, 1 Target, Push","If Wicked Blow hits, it is a Critical Hit. Thetarget is Pushed 6 meters minus their Weight Class.On a roll of 15+, the target is also Tripped."
Wicked Torque,EOT,2,Dark,3d8+10 ,Phys,"Melee, 1 Target",""
Wide Guard,Scene,/,Rock,,Status,"Burst 1, Interrupt, Shield, Trigger","If an Ally adjacent to Wide Guard's user is hitby a Move, you may use Wide Guard as an Interrupt.All targets adjacent to Wide Guard's user, including theuser, are instead not hit by the triggering Move and donot suffer any of its effects."
Wild Charge,At-Will,2,Electric,2d10+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","None."
Wild Swing,TBD,TBD,Normal,TBD,Phys,"TBD","Takes a mighty swing that forces the foe to retreat."
Wildbolt Storm,Scene,5,Electric,3d8+10 ,Spec,"6, Ranged Blast 3, Smite","The target is Paralyzed on a 15+."
Will-O-Wisp,EOT,5,Fire,,Status,"6, 1 Target","The target is Burned."
Wing Attack,At-Will,2,Flying,2d6+8 ,Phys,"Melee, 1 Target","None."
Wish,Daily x2,/,Normal,,Status,"15, 1 Target","At the end of the user's next turn, the targetregains Hit Points equal to half of its full Hit Point value.If the user targets themselves and are replaced in battle,the replacement is healed."
Withdraw,TBD,TBD,Water,TBD,STATUS,"TBD","Withdraws the body into its hard shell to raise Defense."
Wonder Room,Daily x2,/,Psychic,,Status,"Field","For 5 rounds, the area is considered Wondered.While Wondered, each individual Pokémon's Defenseand Special Defense Stats are switched."
Wood Hammer,Scene x2,2,Grass,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","None"
Work Up,EOT,/,Normal,,Status,"Self","Raise the user's Attack 1 Combat Stage and raisethe user's Special Attack 1 Combat Stage."
Worry Seed,Scene,2,Grass,,Status,"8, 1 Target","You choose one of the target's Abilities. WorrySeed changes that Ability to Insomnia for the remainderof the encounter."
Wrap,Static,/,Normal,,Static,"","The user gains a +1 Bonus to Accuracy Rollsmade to initiate Grapple Maneuvers, and +2 to SkillChecks made to initiate Grapple Maneuvers or gainDominance. Whenever the user gains Dominance in aGrapple, the target of the Grapple loses a Tick of HitPoints."
Wring Out,Scene x2,2,Normal,3d12+10 ,Spec,"Melee, 1 Target","For every 10% the target is below their full HitPoints, Wring Out's Damage Base is reduced by 1."
Wyrm Wind,TBD,TBD,Dragon,TBD,Spec,"TBD","Hits 2-5 times. Drops SpDef, raises Speed."
X-Scissor,At-Will,2,Bug,2d8+10 ,Phys,"Melee, 1 Target, Dash","None"
Yawn,Scene x2,/,Normal,,Status,"2, 1 Target, Social","The target falls Asleep at the end of their nextturn. Yawn cannot miss."
Yggdrasil Force,TBD,TBD,Grass,TBD,Phys,"TBD","Lowers user's Atk and Def."
Zantetsuken,Scene,5,Steel,3d10+10 ,Phys,"Melee, 1 Target","This Move automatically CriticallyHits targets at or below half of their Max HitPoints. After dealing damage, the targetbecomes Vulnerable for one full round."
Zap Cannon,At-Will,9,Electric,3d12+10 ,Spec,"12, 1 Target","Zap Cannon Paralyzes the target. Zap Cannonignores the target's Evasion if there are no othercombatants or Rough or Blocking Terrain within 2meters of the target."
Zap Jive,TBD,TBD,Electric,TBD,Spec,"TBD","An electrifying dance that may raise Speed."
Zen Headbutt,EOT,4,Psychic,2d8+10 ,Phys,"Melee, 1 Target, Dash","Zen Headbutt Flinches the target on 15+."
Zephyr Rush,TBD,TBD,Flying,TBD,Phys,"TBD","Not done yet."
Zing Zap,EOT,2,Electric,2d8+10 ,Phys,"Melee, 1 Target","Zing Zap Flinches the target on 15+."
Zippy Zap,TBD,TBD,Electric,TBD,Phys,"TBD","Electric bursts always go first and land a critical hit."
Attack Order_pte,EOT,3,Bug,2d8+10 ,Phys,"6, 1 Target, Full Action","If Attack Order misses, an Ally that is Adjacent to the Target triggers an Attack of Opportunity against the Target. Spirit Surge."
Bug Bite_pte,At-Will,2,Bug,2d6+8 ,Phys,"Melee, 1 Target, Bite","On a roll of 17+, the Target becomes Wounded."
Bug Buzz_pte,Scene x2,6,Bug,2d10+10 ,Spec,"Close Blast 2 or Burst 1; Sonic","On a roll of 18+, all Targets become Dazed. If a Target has negative Special Defense CS, the Effect Range automatically Triggers against them. Smite"
Defend Order_pte,EOT,/,Bug,,Status,"Close Blast 2, Sonic","All Targets gain DR equal to double your Tier Value until the start of your next Turn or gains +2 CS in Defense. Sureshot"
Dull Drone,At-Will,3,Bug,1d8+6 ,Spec,"4, 1 Target, Sonic","On a roll of 18+, all Targets become Dazed."
Fell Stinger_pte,At-Will,2,Bug,1d8+8 ,Phys,"Melee, 1 Target","If the Target faints as a result of being hit by Fell Stinger, the user gains +2 CS in Attack. "
First Impression_pte,EOT,3,Bug,2d8+10 ,Phys,"Melee, 1 Target","If the user entered the Scene this round, this has the Sureshot Keyword. After this Attack resolves, the user may perform a Full Switch as a Free Action. Spirit Surge"
Fury Cutter_pte,At-Will,3,Bug,1d8+6 ,Phys,"Melee, 1 Target","If the user is Provoked, Enraged, or as a Full Action, Fury Cutter may be used as if it was Close Blast 2 or Pass. "
Giga Leech,Scene x2,5,Bug,3d8+10 ,Phys,"Melee, 1 Target","On a roll of 15+, choose a Stat. The Target is lowered by -1 CS in that Stat and the user gains +1 CS to that Stat. Drain."
Heal Order_pte,Scene x2,/,Bug,,Status,"6m, 1 Target, Healing, Versatile","The Target restores 5 Ticks of Hit Points."
Infestation_pte,Scene x2,/,Bug,,Status,"8, Ranged Blast 3, Hazard, Versatile","All Spaces within the Range of this Attack have Infestation Hazards created in them. 

Infestation Hazards - Any Enemy who starts their Turn or moves through an Infestation Hazard has a penalty to Accuracy and Save Checks equal to your Tier Level until the end of their Turn"
Insect Cleave,EOT,5,Bug,2d6+8 ,Phys,"Melee, Pass or Close Blast 2","As a Full Action, or if the Target is Wounded, this Attack has the Smite Keyword."
Lance Stinger,Scene x2,6,Bug,4d10+10 ,Phys,"Melee, Full Action, Pass","Lance Stinger ignores any positive Defense Combat Stages of its Targets and cannot trigger Reactions."
Leech Life_pte,Scene x2,5,Bug,2d8+10 ,Phys,"4, 1 Target","Drain. "
Locust Swarm,Scene x2,/,Bug,,Status,"Field, Versatile","The Field becomes Swarmed for the next 5 Rounds. While the Field is Swarmed, non Bug Type Enemies lose a Tick of Hit Points at the start of their Turn and Bug Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn."
Lunge_pte,EOT,3,Bug,2d8+10 ,Phys,"Melee, 1 Target, Dash","Lunge gains the Sureshot Keyword if the Target is Slowed, Trapped or Vulnerable or if the Dash Keyword is Activated."
Megahorn_pte,Scene x2,4,Bug,3d12+10 ,Phys,"Melee, 1 Target","The Target loses -1 CS in Defense. If they already have negative CS in Defense, they also become Vulnerable against Melee Attacks until the end of the next Round."
Pheromone Haze,Scene x2,/,Bug,,Status,"Blessing, Versatile","Blessing - Any user affected by Pheromone Haze may activate it as a Free Action when using a Bug Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Pheromone Haze may be Activated 3 times and then disappears. "
Pheromone Spray,EOT,5,Bug,1d8+6 ,Spec,"Close Blast 2","One Target becomes Marked with a Haze Mark. Attacks against Enemies with a Haze Mark have a bonus to Effect Ranges equal to your Tier Level. When an Effect Range Triggers against an Enemy with a Haze Mark, the Haze Mark is removed. Spirit Surge"
Pin Missile_pte,EOT,5,Bug,1d8+6 ,Phys,"6, 1 Target","If Pin Missile hits at least 4 times, the Target becomes Wounded. Five Strike"
Pollen Puff_pte,EOT,4,Bug,2d8+10 ,Spec,"6, 1 Target","If Pollen Puff targets an Ally instead of dealing damage, they restore 2 Ticks of Hit Points or Temporary Hit Points."
Powder_pte,Scene x2,4,Bug,,Status,"6, Ranged Blast 3, Versatile","The Target gains a Flammable Coat. Whenever a Combatant with a Flammable Coat is hit with a 1 Target Ranged Damaging Attack, the Attacker may expend the Coat. Once expended, a Burst 2 explosion occurs originating from the Enemy with the Coat and all Combatants within this Range are also hit with the Triggering Attack. "
Powder Storm,Scene,6,Bug,4d10+10 ,Spec,"Close Blast 3, Full Action, Reckless","After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite"
Quiver Dance_pte,Scene x2,/,Bug,,Status,"Self, Versatile","The user gains +2 CS in Special Attack, Special Defense and Speed."
Rage Powder_pte,Scene x2,5,Bug,,Status,"Burst 1 or Close Blast 2; Versatile","All Targets hit by Rage Powder become Provoked by the user until the end of their next Turn. On a roll of 15+, they also become Enraged. Friendly."
Skitter Dance,At-Will,/,Bug,,Status,"Self, Movement Action","The user’s next Melee Attack this Turn ignores Speed Evasion or they gain +1 Evasion."
Skitter Smack_pte,EOT,2,Bug,2d6+10 ,Phys,"Melee, 1 Target","The user may declare the usage of Skitter Smack at the start of their Turn. When Moving this turn, they do not provoke Attacks of Opportunity and do not trigger Reactions."
Silk Trap_pte,Scene,5,Bug,,Status,"4, 1 Target, Versatile","The Target becomes Slowed. While Slowed this way, their Melee Attacks are resisted an additional Damage step. If this Attack misses, they instead are Slowed without any additional effects. Spirit Surge"
Silk Weave,Scene x2,/,Bug,,Status,"4m, 1 Target or Self; Coat","The Target gains a Silk Coat. The Target may expend a Silk Coat to become cured of a Physical Affliction or to reset a Stat to its Default Value"
Silver Cyclone,Scene x2,5,Bug,3d10+10 ,Spec,"6, Ranged Blast 3, Full Action","If the Weather is Windy, Silver Cyclone has the Friendly Keyword. Smite"
Signal Beam_pte,EOT,4,Bug,2d8+10 ,Spec,"6, 1 Target","On a roll of 18+ or if the Target is Dazed, they lose -2 CS in Special Attack or Special Defense. Smite"
Silver Gale,EOT,3,Bug,2d6+10 ,Spec,"8, 1 Target, Priority","If Silver Gale is used with Priority, it may use the user's Speed Stat as an Offensive Stat instead of their Special Attack."
Silver Wind_pte,At-Will,5,Bug,1d8+8 ,Spec,"4, Ranged Blast 2","If the Weather is Windy, this has the Sureshot Keyword."
Spider Fang,EOT,3,Bug,2d8+10 ,Phys,"Melee, 1 Target, Bite","On a roll of 17+, roll a 1d3. The Target gains that Status Affliction. On a roll of 1, the Target is Paralyzed. On a 2, the Target is Poisoned. On a 3, the Target is Weakened until the end of the next Round."
Spider Web_pte,Scene x2,/,Bug,,Status,"3, 1 Target or Close Blast 2, Versatile","The Target becomes Slowed and is Trapped while Slowed and within 3m of the user. Sureshot."
Steamroller_pte,EOT,5,Bug,2d6+10 ,Phys,"Melee, Pass","If the Target is smaller than the User, they cannot apply Physical Evasion or use Reactions against this Attack. "
Sticky Web_pte,EOT,/,Bug,,Status,"6, Hazard, Swift Action","Choose 8 Spaces within the Range of this Attack to create Web Hazards in, such that all 8 Spaces are Adjacent to at least one other Web Hazard. Enemies that Trigger this Web Hazard become Slowed at the end of their Turn. 

Web Hazard - Spaces with Web Hazards are treated as Slow Terrain. Whenever an Enemy passes through or ends their turn on a Web Hazard, they have their Speed lowered by -3 CS. "
String Shot_pte,EOT,6,Bug,,Status,"Close Blast 2 or 6m, 1 Target; Versatile","All Targets become Slowed. While Slowed this way, they have a -3 Accuracy Penalty. *Grants Threaded"
Struggle Bug_pte,At-Will,5,Bug,1d8+6 ,Spec,"Close Blast 2","On a roll of 17+, the user gains +1 CS in Special Attack."
Swift Sting,At-Will,2,Bug,1d8+6 ,Phys,"Melee, 1 Target, Priority","--"
Tail Glow_pte,Scene,/,Bug,,Status,"Self, Versatile","The user gains +3 CS in Special Attack. Attacks have a -3 Penalty to Accuracy when Targeting the user until the start of their next Turn.*Grants Glow"
Twineedle_pte,At-Will,3,Bug,1d6+5 ,Phys,"Melee, 1 Target ","On a roll of 16+, roll a d2. On a 1, they become Poisoned. On a 2, they become Wounded. Double Strike"
U-Turn_pte,At-Will,2,Bug,2d6+10 ,Phys,"Melee, 1 Target, Dash","After Damage Calculations, the user may Disengage or perform a Full Switch as a Free Action."
Web Shot_pte,EOT,5,Bug,2d6+8 ,Spec,"6, Ranged Blast 2","If this Attack misses all Targets, you may place Web Hazards in all spaces within the Range of this Attack. Enemies that Trigger this Web Hazard become Slowed at the end of their Turn. 

Web Hazard - Spaces with Web Hazards are treated as Slow Terrain. Whenever an Enemy passes through or ends their turn on a Web Hazard, they have their Speed lowered by -3 CS."
X-Scissor_pte,EOT,6,Bug,2d8+10 ,Phys,"Melee, Pass ","X-Scissor Inflicts Wounded on a roll of 18+. If this Attack is used without activating the Pass Keyword, this Effect Range automatically Triggers on a hit. Smite"
Ambush,EOT,3,Dark,2d8+10 ,Phys,"Melee, 1 Target, Priority","If the Target is Flanked, they're treated as Vulnerable against this Attack instead and cannot use Reactions against it. "
Assurance_pte,EOT,3,Dark,2d6+8 ,Phys,"Melee, 1 Target","This Attack's Damage Base is increased by +2 for each time the Target was targeted by an Attack this Round (Max 12). If the Target hit the user with an Attack this Round, this has the Sureshot Keyword."
Backlash,EOT,2,Dark,2d6+10 ,Spec,"Melee, 1 Target","When calculating Weakness and Resistance for Backlash, Fairy Typed Targets calculate damage as if Fairy was weak to Dark. If the Target of this Attack hit the user with an Attack this round, Backlash has the Sureshot Keyword."
Beat Up_pte,Scene x2,/,Dark,,Phys,"Melee, 1 Target","The user and an ally adjacent to the Target may each make a Basic Attack as a Free Action against the Target. These Basic Attacks hit for Dark Type Damage instead of their usual Type."
Bite_pte,At-Will,2,Dark,1d8+8 ,Phys,"Melee, 1 Target, Bite","On a roll of 16+, the Target becomes Wounded."
Blindside,EOT,3,Dark,2d6+8 ,Phys,"Melee, 1 Target","Until the end of your Turn, if you use a Manipulate or Tactics Maneuver against the Target, it has the Sureshot Keyword and you have a Boon to any Opposed Checks. If the Target is Vulnerable or Flanked, they lose -2 CS to Defense or Special Defense."
Brutal Swing_pte,EOT,5,Dark,2d6+10 ,Phys,"Burst 1 ","If a Target hit by this Attack Slides into a Space that is Adjacent to Blocking Terrain, they become Vulnerable against the next Attack that Targets them this Round. Slide 1 (Away)."
Carrion Feast,Scene x2,4,Dark,2d10+10 ,Phys,"Melee, 1 Target, Trigger","If an Adjacent Enemy is hit with an Attack, Carrion Feast can be used against that Enemy as a Standard Action + Reaction after the Attack's resolution. Excess HP from the Drain Keyword is converted into Temporary HP. Drain"
Cackle,Scene x2,3,Dark,,Status,"Burst 1, Sonic, Versatile","Choose a Stat on each Target to lower by -2 CS. If the chosen Stat had a positive CS Value or they're Provoked by the user, they lose -4 CS instead. Friendly."
Chaos Strike,Scene x2,3,Dark,3d12+10 ,Spec,"Melee, 1 Target, Recoil 1/3","On a roll of 16+, the Target gains a Mental Affliction the user is affected by or becomes Suppressed if the user doesn't have any."
Crunch_pte,EOT,3,Dark,2d8+10 ,Phys,"Melee, 1 Target, Bite","On a roll of 17+, the Target either becomes Wounded or loses -2 CS in Defense"
Dark Blade,Scene x2,6,Dark,2d6+10 ,Phys,"Melee, Pass","Dark Blade is a Critical Hit on a roll of 17+. If this Attack misses all Targets, the user becomes Enraged and gains +1 CS in Attack. Spirit Surge"
Dark Pulse_pte,EOT,4,Dark,2d8+10 ,Spec,"8, 1 Target, Aura","On a roll of 18+, the Target becomes Suppressed. If the Weather is Foggy or the user has a Mental Affliction, this may be used as if its Range was Burst 1."
Dark Waves,At-Will,5,Dark,1d8+6 ,Spec,"Burst 1 or 3, 2 Targets","--"
Darkest Lariat_pte,EOT,3,Dark,2d8+10 ,Phys,"Melee, 1 Target","This Attack ignores the Target’s positive Defense CS, Damage Reduction, Blessings, Items, Physical Evasion and Abilities. Smite"
Embargo_pte,EOT,6,Dark,,Status,"5, 1 Target, Swift Action","The Target becomes Marked with an Embargo Mark. While a Combatant is affected by an Embargo Mark, they cannot use or benefit from Equipment Items or Consumable Items and cannot be recalled. "
Fake Tears_pte,EOT,4,Dark,,Status,"Burst 1, Social, Versatile","For each Target, choose Attack or Special Attack. The chosen Stat is lowered by -3 CS. If a Target is Entranced, this cannot miss them. "
False Surrender_pte,EOT,4,Dark,2d8+10 ,Phys,"Melee, 1 Target","If the user is Flanked, False Surrender has the Sureshot Keyword. If the user is Surrounded, False Surrender may be used as if its Range were Burst 1."
Feint Attack_pte,EOT,/,Dark,2d6+8 ,Phys,"Melee, 1 Target ","Sureshot."
Flatter_pte,EOT,/,Dark,,Status,"2, 1 Target, Social, Versatile","The Targeted Enemy becomes Entranced. If this Targets an Ally that has hit an Attack this Round, the Ally gains +2 CS in a Stat of your choice. Sureshot"
Fling_pte,Scene x2,4,Dark,2d8+10 ,Phys,"8, 1 Target ","The user may use the environment or expend an Item in their Inventory to change the Type of Fling, within the GMs Discretion. If an Item is expended, Fling's Effect becomes the Item's Effect as if they used the Throw Maneuver. "
Foul Play_pte,Scene x2,3,Dark,3d8+10 ,Phys,"Melee, 1 Target","The Target reveals its Attack stat. When calculating damage, your Offensive Stat is treated as the Target's Attack value."
Gash,Scene x2,5,Dark,,Status,"Melee, Pass, Versatile","Any Coats of the user’s choice currently affecting the Target are removed. When this Attack hits, the Target becomes Wounded. Spirit Surge"
Hone Claws_pte,EOT,/,Dark,,Status,"Self, Versatile","Choose one of the following to gain a +2 to. Attack CS, Accuracy, Critical Hit Range."
Jaw Lock_pte,Scene x2,4,Dark,2d8+10 ,Phys,"Melee, 1 Target, Bite","On a 15+, the Target cannot use a Movement Action during their next Turn. This Turn, you may perform a Grapple Maneuver against the Target as a Swift Action if desired."
Knock Off_pte,Scene x2,3,Dark,2d6+10 ,Phys,"Melee, 1 Target","When this Attack hits, you may use a Disarm Maneuver as a Free Action against the Target. Perform the Opposed Check with a Boon."
Kowtow Cleave_pte,Scene x2,/,Dark,2d8+10 ,Phys,"Close Blast 2 ","On a roll of 17+, all Targets become Wounded. Sureshot"
Lash Out_pte,EOT,4,Dark,2d8+10 ,Phys,"Melee, 1 Target","If the user is Enraged or has an Affliction, Lash Out is instead DB 12"
Lunar Beam,Scene,4,Dark,2d8+10 ,Spec,"Line X, Set-Up","Charge Effect: If the Weather is Sunny, you cannot use this Charge Effect. If the Weather is Foggy, you instead gain 2 Charge Tokens. 
Resolution Effect: X is equal to 4 plus the number of Charge Tokens you expend. This Attack’s Damage Base is increased by +2 for each Charge Token you expend. Smite"
Marked Prey,Scene x2,3,Dark,,Status,"Melee, 1 Target, Swift Action","The Target becomes Marked with a Scent Mark. The user gains +2 Accuracy and Effect Range against Combatants with a Scent Mark.
*Grants Tracker"
Memento_pte,Scene,/,Dark,,Status,"8, 1 Target, Trigger, Free Action","Memento may be used as a Free Action when the user becomes Fainted, targeting the Combatant who caused it to Faint. Lower each of the Target's stats by -2 CS. Sureshot"
Nasty Plot_pte,EOT,/,Dark,,Status,"Self, Versatile","The user gains +2 CS in Special Attack. Their next Special Attack gains the Smite Keyword."
New Moon_pte,Scene x2,/,Dark,,Status,"Blessing, Versatile, Weather","Blessing - Any user affected by New Moon may activate it as a Free Action when using a Dark Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). New Moon may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Foggy."
Night Daze_pte,EOT,6,Dark,2d10+10 ,Spec,"Burst 1","Targets become Dazed on a 16+. If the Weather is Foggy, Night Daze has the Friendly Keyword. "
Night Slash_pte,EOT,5,Dark,2d6+10 ,Phys,"Melee, Pass","Night Slash is a Critical Hit on a roll of 18+."
Obstruct_pte,Scene,/,Dark,,Status,"Self, Coat","The user gains an Obstructed Coat until the start of their next Turn. While they have this Coat, Adjacent Allies cannot be Targeted by 1-Target Attacks, Adjacent Allies resist damage by an additional step and the Enemies cannot move through the space the user occupies. "
Parting Shot_pte,EOT,/,Dark,,Status,"6, 1 Target, Social, Movement Action","The user may perform a Provoke Maneuver against the Target as a Free Action as if it had the Sureshot Keyword. The user then either Disengages or performs a Full Switch, both as a Free Action. If they were Switched out and the Maneuver was successful, they are Provoked by the replacing Pokemon until the end of their next Turn. Sureshot"
Payback_pte,EOT,4,Dark,2d6+8 ,Phys,"Melee, 1 Target","If the Target hit the user with an Attack since the user's last turn, Payback instead has a Damage Base of 12."
Power Trip_pte,Scene x2,4,Dark,1d6+3 ,Phys,"Melee, 1 Target","This Attack gains +2 to its Damage Base for every positive CS held by the user, to a maximum of DB 20. Smite"
Punishment_pte,EOT,4,Dark,1d6+3 ,Phys,"Melee, 1 Target","This Attack gains +2 to its Damage Base for every positive CS held by the Target, to a maximum of DB 20. Smite"
Pursuit_pte,At-Will,2,Dark,1d8+8 ,Phys,"Melee, 1 Target ","The Target becomes Marked with a Pursuit Mark. Whenever an Enemy with a Pursuit Mark moves, you may Slide into an Adjacent Space as a Reaction. If they would exceed a number of spaces more than your Movement Value, you cannot use this Effect. "
Quash_pte,At-Will,5,Dark,,Status,"10, 1 Target, Social, Versatile","If the user has witnessed the Target use an Attack or Ability this Scene, you may choose one of them to become Disabled. When this Attack hits, the Target becomes Suppressed. Spirit Surge."
Ripping Abyss,Scene x2,/,Dark,,Status,"Field, Versatile, Weather","The Field becomes Abyssal for the next 5 Rounds. While the Field is Abyssal, non Dark Type Enemies lose a Tick of Hit Points at the start of their Turn and Dark Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Abyssal, the Weather becomes Foggy."
Sabotage,At-Will,3,Dark,1d8+6 ,Spec,"Melee, 1 Target","When this Attack hits, choose a Stat the Target has Positive CS in. They lose -1 CS in that Stat."
Savage Roar,Scene x2,/,Dark,,Status,"Burst 2, Sonic, Social, Versatile","Perform a Command or Intimidate Check. If you get at least 3 Successes, all Targets become Suppressed. Additionally they suffer a penalty to their next Accuracy or Save Check (of your choice) equal to half the number of Successes (Rounded Up). Friendly, Sureshot."
Scornful Vortex,Scene,6,Dark,4d10+10 ,Phys,"Burst 2, Full Action, Reckless","The user loses a Tick of Hit Points for each combatant that takes damage from this Attack. Smite"
Shadow Bolt,Scene,5,Dark,3d8+10 ,Spec,"10, 1 Target ","On a roll of 18+ or if Shadow Bolt misses, roll a 1d3. On a roll of 1, the Target becomes Suppressed. On a 2, the Target becomes Dazed. On a 3, the Target becomes Enraged. If the Weather is Foggy, you may choose instead of rolling a 1d3. Spirit Surge."
