Name,Effect
Wallmaster,"Static
Connection – Barrier. Whenever the user uses Barrier, they may choose to either gain +2 Defense Combat
Stages, or place 2 additional segments of Barrier."
Wandering Spirit,"Scene – Free Action, Reaction
Trigger: The user is hit by a Melee attack
The user exchanges Wandering Spirit with a random Ability of the opposing Pokémon, as per the Move Skill
Swap."
WandrngSprit,"Trades ability with attacker on contact."
Wash Away,"Daily – Free Action
Trigger: The user hits with a Water Type Move
Before the Move “hits”, all Combat Stages on targets hit by the Move are reset to their default (usually 0), and
all coats on the targets, except ones placed by Water Sport, are destroyed."
Watch Your Step,"Spreads two layers of Spikes on switch-in."
Water Absorb,"Static
The user is immune to the damage and effects of Water-Type attacks, and whenever they are hit with a Water
Type attack, they gain a Tick of Hit Points. Defensive."
Water Bubble,"Static
The user resists Fire-Type attacks one step further, is immune to being Burned, and may always act as though
in Rainy Weather. Defensive.
Bonus: The user may attack with Water-Type Moves as if they had a range of “Melee, 1 target”. If they do, that
Move's Class is changed to Physical and it deals +1d6+2 damage."
Water Compaction,"Static
The user is hit by a Water-Type move
The user receives +2 Defense Combat Stages and resists Water one step further. Defensive."
Water Veil,"Static
Keywords: Immune
The user is immune to Burns. Once per Scene user may activate Aqua Ring as a quick action even if not
learned. Defensive."
Wave Rider,"Static
While in water, the user’s Speed Stat gains +4 Combat Stages. Remove these Combat Stages if the user exits
the water."
Way of Precision,"Inner Focus + Precise Fist."
Way of Swiftness,"Pretentious + Swift Swim."
Weak Armor,"At-Will – Free Action
Trigger: The user takes Physical damage.
The user may lower its Defense by 1 Combat Stage, and gain +1 Speed Combat Stage. This is done after the
triggering damage is resolved."
Weaponize,"Static
While being wielded as a Living Weapon and being actively Commanded as a Pokémon, the user may
Intercept for its Wielder as a Free Action."
Weather Control,"Negates all weather based moves from enemies."
Web Spinner,"Uses String Shot on switch-in."
Weeble,"At-Will – Standard Action, Reaction
Trigger: The user is hit by a damaging attack
The user may make an AC4 Physical Attack against an adjacent target. If the attack hits, the target loses Hit
Points equal to 1/3rd of the damage taken by the user from the attack that triggered Weeble."
Weird Power,"Static
If the user's Attack is higher than its Special Attack, the user may add its Attack Stat to its Special Damage
Rolls. If their Special Attack is higher, they user may add its Special Attack Stat to its Physical Damage Rolls.
This does not stack with Mixed Power."
Well Baked Body,"Boosts Defense sharply instead of being hit by Fire-type moves."
Well-Baked Body,"Static
The user is immune to the damage and effects of Fire-Type attacks, and whenever they are hit with a Fire-Type
attack, they gain +2 Defense Combat Stages. Defensive"
Whiplash,"Physical attacks lower defense."
Whirlwind Kicks,"Static
Connection – Rapid Spin. When the user uses the Move “Rapid Spin”, it has a range of “Burst 1” instead of
Melee and gains the Priority keyword."
White Flame,"Static
The user may not make rolls to cure themselves from the Enraged condition. However, while Enraged, the user
gains a +5 Bonus to all Damage Rolls."
White Noise,"Static + Rest in Peace."
White Smoke,"Static
The user’s Combat Stages, Evasion, or Accuracy may not be lowered except by the user’s own Moves and
effects. Defensive."
Whiteout,"Ups highest attacking stat by 1.5x in hail."
Wildfire,"Attacks with Fire Spin on entry."
Wily,"Static
The user's X-target Status Class Moves may target an additional target within range."
Wimp Out,"Static
The user is brought to 50% Hit Points or lower.
The user is immediately returned to it's Pokeball. A new Pokemon can be immediately sent out."
Wind Force,"Static
The user is immune to the damage and effects of Flying Type attacks. Whenever a Flying Type attack hits the
Pokémon, raise their Speed by +1 Combat Stage. Defensive."
Wind Power,"Trigger- The user is damaged by a Flying type move
the user will receive +2 DB on the next electric type move it uses."
Wind Rage,"Uses Defog on switch-in. Air-based moves get a 1.3x boost."
Wind Rider,"Static
The user gains a +1 attack stage when Tailwind is active, furthermore the user also gains a +1 attack stage
when targeted by a Flying type move, the user is also immune to Flying type attacks"
Windveiled,"Static
The user is immune to the damage and effects of Flying-Type attacks. If the user is hit by a Flying-Type attack,
the user raises the Damage Base of their next Flying-Type Move by +1. Defensive"
Winged King,"Ups “supereffective” by 33%."
Winter’s Kiss,"Static
The user does not take damage from Ice-Type Moves. Whenever the user uses or is hit by an IceType Move,
the user is healed by a Tick of Hit Points. Defensive.Defensive."
Wishmaker,"Uses Wish on switch-in. Three uses per battle."
Wishmaster,"Static
Connection – Wish. Whenever the user uses Wish, the user may pick one of the following effects: the target is
healed instantly instead of the following round; or the target gains +2 CS to the Stat of their choice upon
being healed; or the target is cured of any Status Affliction."
Wistful Melody,"Scene – Free Action
Connection – Sing. Whenever the user uses Sing, they may activate to his Ability to cause targets that are
targeted by Sing have their Attack and Special Attack lowered by -2 CS each, whether Sing successfully hits
that target or not. This Ability does not affect targets with the Soundproof Ability"
Witheout,"Static
During Snow user's Ice type moves get damage base +2."
Wobble,"Scene – Free Action
Trigger: The user is hit by a damaging attack
The user may use either Counter or Mirror Coat as a Reaction, ignoring Frequency"
Wonder Guard,"Static
Only damaging attacks that are Super-Effective affect the Pokémon with Wonder Guard; all other damaging
attacks cannot hit the user or deal damage. Wonder Guard loses its effect if the user has no weaknesses.
Defensive."
Wonder Skin,"Static
The user gains +6 Evasion against Status Moves. Defensive."
Yuki Onna,"Scare + Intimidate. 30% chance to infatuate on hit."
Zen Mode,"Static
Keep two sets of Base Stats for Darmanitan, the first set of Base Stats are its normal stats while the second will
be referred to during Zen Mode. The HP Stat for both sets of Base Stats must be the same. If Darmanitan has
its Base Stats altered in any way, both sets of Base Stats are affected. As a Free Action, Darmanitan may
activate Zen Mode if it is at less than 50% of its full Hit Points. Darmanitan may change back from Zen Mode
as a Free Action if its Hit Point total is at 50% or higher. Darmanitan may switch from one form to another
once per Scene."
Zen Snowed,"Scene – Swift Action
The user changes into Zen Mode forme for the rest of the Scene, and may use the Moves “Ice Punch” and
“Fire Punch” as if they were on its Move List."
Zero to Hero,"Trigger- This pokemon is returned to its Pokeball
Whenever the user is returned to its Poké Ball by any means it may activate Zero to Hero to change from its
Zero Form to its Hero Form."
Abominable_pte,"Static
Keywords - Innate
Effect: The user adds +5 Points to their HP Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. If desired, the user can increase their size to Large."
Absorb Force_pte,"Scene x2 - Reaction
Keywords - Defensive
Trigger - The user is hit by a Physical Attack while they have Temporary Hit Points
Effect: Before Damage Calculations, your Temporary Hit Points becomes double its current value. After the Attack resolves, you lose all Temporary Hit Points and become Vulnerable until the end of the Round.
Bonus: Whenever you take Damage from an Attack you applied no Temporary Hit Points towards, you may gain a Tick of Temporary Hit points after Damage Resolution."
Accelerate_pte,"Static
Effect: Attacks in which the user applies the Same Type Attack Bonus gain the Priority Keyword. When using an Attack this way, the user may use Speed as an Offensive Stat or may add half of their Speed to the Damage Roll.  "
Adaptability_pte,"Static
Effect: The user’s Normal Type Attacks may deal Damage as if they matched one of the user’s Types or an Adjacent Ally’s Type."
Aerial Fighter,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack
Effect: The Triggering Attack is resisted by one additional damage step, if the Triggering Attack was from an Enemy with the Flier capability, it instead misses. 
Bonus: While the weather is Windy, the user has a bonus to Accuracy equal to their Tier Level."
Aftermath_pte,"Scene - Free Action
Trigger - The user Faints
Effect: At the end of the Round, all Enemies within a Burst 2 Range lose X Ticks of Hit Points. X is equal to 1 plus your Explosion Counters.
Bonus: At the end of each Round and as a Swift Action, the user gains +1 Explosion Counter (Max 5). As a Full Action, the user may activate this Ability, ignoring the Trigger and Frequency, but you lose all Explosion Counters after its resolution."
Alacrity,"Static
Keywords - Innate
Effect: The user adds +5 Points to their Speed Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user has a bonus to Accuracy equal to half of their Speed Evasion (Rounded Up)."
Ambush_pte,"Static
Effect: During the first round of Combat, the user’s Attacks have the Unstoppable Keyword and treat Enemies as if they were Vulnerable. At the GM's Discretion, if the Enemies are unaware of the user’s presence, they gain a modifier to Critical Hit equal to their Tier Level. Whenever the user Targets a Flanked Enemy, they are instead treated as Vulnerable. "
Analytic_pte,"Static
Effect: Targets of the User’s Attacks cannot apply Stat Evasion if they’ve used an Attack or Reaction this Round. Once per Round the User may use a Reaction as if it were a Free Action."
Anchored_pte,"Static
Keywords - Innate
Effect: The user gains an Anchor Token that cannot exceed 3m from the user and the user cannot exceed 3m from the Anchor Token. The user cannot be slid and if the user uses a Movement Action, their Anchor Token must move to any space within 3m of them. The user may originate any Damaging Attack from their Anchor Token and if they do, it turns into Melee, 1 Target, becomes Physical Category and may be shifted to deal Steel Type Damage. Attacks originating from your Anchor Token have their DB increased by +3."
Anger Point_pte,"At-Will - Free Action
Trigger - The user drops below 50% Hit Points or is hit by a Critical Hit
Effect: The user becomes Enraged. 
Bonus: While the user is Enraged, they gain a bonus to Damage Rolls equal to their Tier Value and a modifier to Critical Hit equal to their Tier Level"
Aqua Bullet_pte,"At-Will - Free Action
Connection - Aqua Jet. 
Effect: Declare a Water Type Melee Damaging Attack. During this Turn, you do not provoke Attacks of Opportunity from Movement but you must use the declared Attack. The declared Attack may use Speed as if it were the Offensive Stat.
Bonus: The user may use non-Self Water Type Attacks as if their Range were 10, 1 Target. "
Arena Trap_pte,"At-Will - Swift Action
Connection - Sinkhole
Effect: Create a Sinking Hazards in a 3x3 Range within 3m of the user. (Refer to Sinkhole). 
Bonus: While you are standing in a Sinking Hazard created by you, all Enemies within 3m that are also standing on a Sinking Hazard become Trapped by you. "
Aroma Veil_pte,"Static
Keywords - Defensive
Effect: The user and Allies within 2m cannot become Dazed, Enraged or Suppressed and are cured of these Afflicitons if they enter this Range. The user and Allies within 2m have a bonus to Save Checks equal to your Tier Level."
Aura Surge,"Static
Effect: For each Tick of Hit Points the user is missing, the user gains a +5 Bonus to Damage Rolls. This Damage Bonus cannot exceed double the user’s Tier Value. While the user is below 50% of their Max Hit Points, their Damaging Attacks are treated as having the Smite Keyword. "
Axe Cleaver,"Scene x2  - Free Action
Trigger - You inflict the Wounded Affliction
Connection - Dual Chop.  The Target either loses -2 CS in Defense or cannot cure the Wounded Affliction during their next Save Check.
Bonus: The user gains a 17+ effect range to inflict Wounded on all Physical Attacks. The user's Wounded Effect Ranges (Excluding the one granted by Axe Cleaver) are increased by +2. "
Battery_pte,"At-Will - Swift Action 
Trigger - The user uses an Electric Attack
Connection - Charge. 
Effect: The user gains a Charged Counter (Max 5). If the user is Tier 3, they instead gain two Charged Counters.
Bonus: The user’s Electric Type Attacks have a +1d8 Damage Bonus for each Charged Counter they have. As a Free Action, the user may Target an Adjacent Ally and expend any number of Charged Counters. The Target’s next Damaging Attack that hits has a +2d8 Damage Bonus for each expended Counter."
Battle Armor_pte,"Static
Keywords - Defensive
Effect: The user cannot become Critically Hit. If they would, it instead becomes a normal hit. The user has Damage Reduction against Adjacent Attacks equal to their Tier Value."
Beam Cannon_pte,"Static
Effect: The user may use 1 Target, Ranged Attacks as if they were Line Range instead. If an Attack is 6, 1 Target, it becomes Line 6. The user gains a modifier to Critical Hit and Effect Ranges for their Line or 1 Target Ranged Attacks equal to their Tier Level. "
Beast Boost_pte,"At-Will - Free Action
Trigger - An Enemy that the user damaged since their last turn faints.
Effect: The user gains +2 CS to their highest Stat.  
Bonus: As a Swift Action, the user may lose any number of CS and gain a Tick of Temporary Hit Points for each 1 CS lost"
Beautiful_pte,"Static
Effect: The user’s Attacks have a 17+ Effect Range to cause their Targets to become Entranced. While the user is within 2m of an Entranced Enemy, they cannot cure the Entranced Affliction with Save Checks. If an Ally would cause an Enemy to become Entranced, they may instead have you be the Fixation.  "
Berserk_pte,"Scene - Swift Action
Effect: The user becomes Enraged for the remainder of the Scene and it cannot be cured by any other means (Other than Fainting). 
Bonus: While Enraged, if the user hits a Damaging Attack, they gain +1 CS in Attack or Special Attack after Damage Calculations. While Enraged, the user’s Melee, 1 Target Attacks may be used as if they were “All Adjacent Enemies” instead. While Enraged, the user has a -3 Penalty to Save Checks."
Big Swallow_pte,"Static
Effect: The user may perform the Grapple Maneuver as a Swift Action. Whenever you are engaged in a Grapple with Creatures that are smaller than you, you are not Vulnerable nor Provoked by the Grappled Combatant. Whenever a Grappled Enemy you have Dominance with performs a Grapple Check, they lose a Tick of Hit Points and you restore a Tick of Hit Points."
Blade Of Resentment,"Static
Connection - Bitter Blade. 
Effect: The user’s Melee Attacks have a 16+ Effect Range to cause Targets to become Suppressed. Whenever the user hits a Drain Attack against a Suppressed Target, they heal for the full Damage the Target takes instead of half.  "
Blessed Touch_pte,"At-Will  - Standard Action
Target - An Adjacent Ally
Effect: The Target is cured of all Physical Afflictions, restores 3 Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points. An Ally can only be affected by each of these Effects once per Scene. 
Bonus: The user gains a Modifier to Save Checks equal to their Tier Level."
Blow Away_pte,"At-Will - Free Action
Trigger - The user hits an Enemy with a Flying Type Attack or a Trip Maneuver
Effect: The Target is slid up to Xm in any direction. X is equal to 6 minus their Weight Class.
Bonus: The user may perform Trip Maneuvers as if their Range was 6, 1 Target or Line 3. "
Bodyguard_pte,"Scene - Reaction
Keywords - Defensive
Trigger - An Adjacent Ally is hit by an Attack
Effect: The Triggering Ally Slides 1m in any direction, then the user slides into their original space. The user is hit by the Triggering Attack instead, taking damage from the Attack as if they resisted it one step further. If the Ally still remains within the Area of Effect of the Triggering Attack, they are still hit by the Attack.  
Bonus: Whenever the user Intercepts, the Triggering Attack isn't increased by a Damage Step."
Bone Lord_pte,"Static
Connection - Bone Club. 
Effect: Whenever you use the Bone Club Attack, you may alter how it’s used in any of the following ways. You can only choose one at a time. You may change its range to “All Adjacent Enemies”. You may change its range to “6, 1 Target, Smite”. You may have it ignore Immunity to Ground Type Attacks. You may extend its Critical Hit Range by your Tier Level. You may use it as an Interrupt, Standard Action when hit by an Adjacent Enemy. "
Bountiful Harvest,"Static
Effect: The user starts the Scene with 3 Fruit Counters. The user or Adjacent Allies may use a Swift Action to expend one Fruit Counter to restores two Ticks of Hit Points or cure themselves of a Physical Status Affliction. "
Brimstone_pte,"Scene - Swift Action
Trigger - The user would Burn or Poison an Enemy
Effect: They instead are both Burned and Poisoned.
Bonus: The user gains a bonus to Effect Ranges equal to their Tier Level if the Effect would cause a Target to become Burned or Poisoned."
Bulletproof_pte,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by a Physical Attack or 1-Target Ranged Attack
Effect: The user takes Damage as if the Triggering Attack was one step less effective. If the user is Tier 3, the Frequency of this Ability becomes Scene x2 instead."
Cave Dweller ,"Static
Keywords - Defensive
Effect: The user resists Ground and Rock Type Attacks by an additional Damage step. The user gains the Darkvision Capability. While the user is in Cave Terrain, once per Round they may perform any Combat Maneuver without a Trigger as if it were a Free Action. "
Chaotic,"Scene x2 - Free Action
Trigger - You use Metronome as a Standard Action
Connection - Metronome. 
Effect: The GM rolls for Metronome three times and you may choose which Attack to use. 
Bonus: When you use the Metronome Attack, Damaging Attacks that are rolled may have their Category changed to either Physical or Special, of your choice."
Chemical Romance_pte,"At-Will - Swift Action
Trigger - The user would Poison an Enemy
Effect: The Poisoned Enemy also becomes Entranced. They cannot cure the Entranced Affliction while they’re Poisoned this way.
Bonus: Entranced Enemies within 3m of you suffer a penalty to Save Checks equal to your Tier Level."
Chlorophyll_pte,"Scene - Swift Action 
Effect: The user restores two Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points or is cured of a Physical Status Affliction. If the user is in Sunny Weather, the Frequency of Chlorophyll isn’t expended. This Ability can only ignore its Frequency twice in a Scene."
Clay Cannons_pte,"Static
Effect: The user gains two Cannon Tokens that must stay within 2m of the user at all times. The user may move them anywhere within this range Limit as a Free Action on their Turn. Each Token has 1 HP and if they Faint, can be revived as a Swift Action. The user may originate any Attack or Maneuver from a Cannon Token. When originating an Attack from a Cannon Token, all Blast Ranges are increased by +1 and Line Ranges are increased by +2. These Attacks also gain +3d8 to their Damage Rolls. "
Clear Body_pte,"Static
Keywords - Defensive
Effect: The user cannot have Combat Stages lowered by the result of an Enemy’s Feature, Ability, Attack, etc. Indirect methods such as Status Afflictions still affect them. The user is Immune to negative modifiers as a result of an Enemy’s Feature, Ability, Attack, etc. This includes modifiers to Accuracy, Save Checks, Evasion, etc. "
Cloud Nine_pte,"Scene - Swift Action
Effect: All Weather on the Field is removed. The same Weather cannot be added to the Field until end of the next Round.
Bonus: While there is no Weather on the Field, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. "
Cluster Mind_pte,"Scene - Swift Action

Effect: The user may switch an Attack between their Known Attack List and their Attack List until the end of the Scene.
Bonus: The user gains bonus Attack Slots equal to their Tier Level. Attacks that occupy these Slots must be Status Category."
Color Change_pte,"At-Will - Free Action
Effect: Choose any Type. The user’s Type changes to match the chosen Type until the end of the Scene. 
Bonus: The user resists Attacks of its current Type by an additional Damage Step. "
Color Theory_pte,"At-Will - Free Action  
Trigger - The user hits a Damaging Attack
Effect: The user may instead deal Damage as if its Type was one of the Types associated with their Color. 
Bonus: When the user is born, choose a Color for their Tail. Each color has an associated set of Types and Stat. The user gains +5 Stat Points in the associated Stat that go in the Extra Column. Red - (Attack | Fire, Fairy, Psychic), Orange - (Defense | Normal, Fighting, Dragon) Yellow - (Special Attack | Electric, Rock, Steel) Green - (Special Defense | Bug, Grass Ground) Blue - (Speed | Flying, Ice, Water) Violet - (Hit Points | Dark, Ghost, Poison) "
Comatose_pte,"At-Will - Movement Action
Effect: The user regains a Tick of Hit Points.
Bonus: The user is Immune to the Drowsy Affliction."
Combo Striker_pte,"At-Will - Free Action
Trigger - The user rolls a Natural 5, 10, 15 or 20 on an Accuracy Roll for a Melee Damaging Attack
Effect: After the Triggering Attack Resolves, the user may use a Basic Attack against the same Target. "
Commander_pte,"At-Will - Swift Action
Target - An Adjacent Ally
Connection - Helping Hand.
Effect: The Target gains a bonus to Accuracy and Save Checks equal to your Tier Level until the end of their next Turn. 
Bonus: The user treats all Allies as if they were Cover Terrain when Attacks would Target the user."
Complex Neurolink,"Static
Keywords - Defensive
Effect: The user is immune to Mental Afflictions caused by Enemies. "
Compound Eyes_pte,"Scene x2 - Swift Action
Trigger - The user uses an attack 
Effect: The Triggering Attack gains the Unstoppable Keyword.
Bonus: The user gains a bonus to Accuracy and Evasion equal to their Tier Level."
Conqueror_pte,"At-Will - Free Action
Trigger - An Enemy the user has Damaged this Scene Faints or the user resolves an Attack that resulted in a Critical Hit
Effect: The user gains +1 CS in Attack, Special Attack or Speed
Bonus: Whenever the user would lose CS in a Stat they have Positive CS in, the amount lost is reduced by 1. "
Contrary_pte,"Static
Effect: Whenever the user would lose Combat Stages, they instead gain the same amount. If they gain CS, they instead lose the same amount. If the user would gain a temporary positive Modifier to a Combat Value, it instead becomes a Penalty of the same Value. If the user would gain a temporary penalty to a Combat Value, it instead becomes a positive Modifier for the same Value for the same duration. (Ex: Accuracy or Evasion)"
Copy Master_pte,"At-Will - Reaction
Trigger - Another Combatant uses an Attack
Connection - Copycat. 
Effect: Add the Triggering Attack to your Attack List until the end of your next Turn. 
Bonus: Whenever you use Copycat, the Attack is added to your Attack List for the rest of the Scene. Whenever you use an Attack that has been added to your Attack List this Scene, it may be treated as either Physical or Special of your choice. Attacks gained through this Ability are added to your bonus Attack Slots."
Corrosion_pte,"Static
Effect: The user’s Poison Type Attacks deal Damage to Rock and Steel Type Pokemon as if it was Super Effective instead of Immune. The user may inflict the Poison Affliction on Steel Type Pokemon as if they were not Immune to the Affliction. When the user inflicts Poison, they may lower their Defense instead of Special Defense if desired."
Costar_pte,"Scene x2 - Reaction
Trigger - An Ally gains Combat Stages or a Temporary Modifier
Effect: The user gains CS in the same Stats for the same value or gains the same Modifier for the same duration. 
Bonus: When the user takes their Turn, if the Ally they’re acting alongside targets an Enemy with an Attack, that Enemy cannot apply Stat Evasion against your Attacks. "
Cotton Plume,"At-Will - Free Action 
Keywords - Defensive
Trigger - The user uses a Grass Type Attack or is hit by an Attack from an Adjacent Enemy
Effect: Choose Accuracy or Evasion. All Enemies within 1m of the user have a penalty to the chosen combat value equal to your Tier Level until the end of their next Turn. An Enemy can only be affected by Cotton Plume once per Round.  
Bonus: This Ability may be used as a Swift Action to ignore the Trigger. "
Courage_pte,"Static
Effect: While the user is below 50% Hit Points or Surrounded, they have a Bonus to Damage Rolls and Damage Reduction equal to their Tier Value. If both apply, the bonus is doubled. "
Coward_pte,"Scene - Free Action
Trigger - The user is Targeted by an Attack
Effect: The Triggering Attack instead misses the user. The user cannot Target the Triggering Enemy with an Attack during their next Turn and if they use a Damaging Attack during this Turn, it is resisted by an additional damage step.
Bonus: Whenever the user ends their Turn without Targeting an Enemy with an Attack, they gain a bonus to Evasion equal to their Tier Level until the start of their next Turn. "
Cruelty_pte,"Scene x2 - Swift Action
Trigger - The user hits an Enemy with a 1-Target Attack
Effect: Choose one of the following Effects to apply to the Target. A Target can only be affected by this Ability once per Scene. The user may use a Manipulate or Trick Maneuver against them as a Free Action. The Target has a Penalty to their next Save Check equal to double your Tier Level. The Target cannot restore Hit Points or gain Combat Stages until the end of the next Round. "
Curious Medicine_pte,"At-Will-Special 
Target - The user or an Adjacent Combatant 
Effect: Curious Medicine may be used as a Free Action to reset all Negative CS of the Target to their Default Value. It may be used as a Swift Action to grant the Target a bonus to their next Save Check equal to your Tier Level. Lastly, it may be used as a Standard Action to make the Target gain the Wounded, Poisoned, or Paralyzed Affliction"
Cursed Body_pte,"At-Will - Reaction 
Keywords - Defensive
Trigger - An Enemy ends their Turn Adjacent to the user or hits them with an Attack while Adjacent to them

Effect: The Triggering Enemy either becomes Cursed, Suppressed or has the Triggering Attack disabled. "
Cute Charm_pte,"Scene x3 - Reaction
Keywords - Defensive
Trigger - An Enemy ends their Turn within 2m of the user or hits them with an Attack while Adjacent to them
Effect: The Triggering Enemy either becomes Entranced, Weakened until the end of the Round or loses -2 CS in Attack and Special Attack. An Enemy can only be affected by Cute Charm once per Scene."
Cute Tears_pte,"At-Will - Swift Action
Target - An Enemy within 3m
Effect: Until the end of the Target’s next Turn, when Attacking the user or an ally within 2m of you, they have a penalty to Accuracy equal to your Tier Level and a penalty to Damage Rolls equal to your Tier Value. "
Damp_pte,"Static
Keywords - Defensive
Effect: If the user is Targeted by Burst, Line or Blast Attack, they resist it by an additional Damage Step. If the user ends their turn while the Weather is Rainy, they gain a Tick of Temporary Hit Points and restore a Tick of Hit Points.  "
Dancer_pte,"At-Will - Swift or Movement Action
Target - An Ally within 2m

Effect: The Target gains +1 CS in a Stat of your choice. A Combatant can only be Targeted by Dancer once per Round and Dancer can only be used once per Round unless you’re Tier 3."
Deadly Poison_pte,"Static
Effect: Whenever you inflict the Poisoned Affliction, it cannot be cured via Save Checks. Combatants Poisoned by you instead lose three Ticks of Hit Points instead of one when the Poisoned Affliction would activate its effects."
Deathly Aroma,"Static
Effect: Whenever the user ends their Turn, all Enemies within 3m of them lose -1 CS in a Stat of your choice and adjacent Enemies cannot restore Hit Points until the end of their next Turn."
Decoy_pte,"Scene - Swift Action
Connection - Follow Me. 
Effect: When this Ability is Activated, you may use Follow Me as a Free Action.
Bonus: The user has a bonus to Evasion equal to your Tier Level if the attacker is Provoked by you or Dazed. "
Deep Sleep_pte,"Scene - Standard Action
Effect: The user becomes Drowsy, then if they do, they restore 5 Ticks of Hit Points. 
Bonus: When the user becomes Drowsy they may choose to gain a Sleep Coat which persists while they have the Drowsy Affliction. While they have a Sleep Coat, they cannot use Swift or Movement Actions, they resist all Attacks by an additional Damage Step and they restore two Ticks of HP at the end of their Turn.  "
Defiant_pte,"At-Will - Free Action
Trigger - The user has their CS lowered by an Attack, Ability or Feature from a source other than themselves
Effect: The user gains +2 CS in Attack or Special Attack. Defiant may only be Triggered once per Round."
Defy Death_pte,"At-Will - Free Action
Trigger - The user would faint and had more than 10% Hit Points
Effect: The user performs a Luck Roll. If they pass a DC 5, they are instead set to 1 Hit Point instead of fainting. Each time this Ability activates, increase the DC by +5.  "
Delayed Reaction_pte,"At-Will - Reaction
Trigger - You would take Damage
Effect: You instead take no Damage. At the end of the Round, you lose Hit Points equal to the damage you should have taken when before using this Ability. This occurs even if the user is recalled."
Desert Weather_pte,"Static
Keywords - Defensive
Effect: The user resists Ground and Fire Type Attacks by an additional Damage step. If the user ends their turn while the Weather is Sandstorm, they gain a Tick of Temporary Hit Points and restore a Tick of Hit Points. "
Dig Away_pte,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by a non-Adjacent Attack
Effect: The Triggering Attack instead misses. The user is removed from the Scene and becomes Untargetable for this duration. At the start of the user’s next Turn, they enter the field in any unoccupied space where they could have moved to during their last turn. 
Bonus: Whenever the user uses the Burrower Capability, then uses a 1-Target Attack during that Turn, the Target cannot apply Speed Evasion against it."
Dire Spore_pte,"At-Will - Swift Action
Connection - Spore. 
Effect: The user creates Spore Hazards withiin a 3, Ranged Blast 2, area. Enemies that move through this Hazard become Paralyzed, Poisoned or Burned, of the user's choice. 
Bonus: Your Grass Type Status Attacks gain a 15+ Effect Range to inflict Poison."
Discipline_pte,"Scene x2 - Swift Action
Effect: The user is cured of a Status Affliction. This Ability cannot be activated on a Turn the user used a Damaging Attack and the user cannot use a Damaging Attack for the rest of this Turn after activating Discipline."
Disguise_pte,"Scene - Free Action
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack
Effect: The Triggering Attack is resisted by an additional Step, then the user becomes Enraged.  
Bonus: While Enranged this way, the user has a bonus to Critical Hit Ranges equal to their Tier Level for their Dark and Ghost Type Damaging Attacks. If the user is now longer Enraged, as a Swift Action, the user may restore the Frequency of this Ability."
Dodge_pte,"Static
Keywords - Defensive
Effect: The user starts the Scene with Dodge Counters equal to their Tier Level. A Dodge Counter can be expended as a Reaction to gain +3 Evasion against an Attack or to treat an Attack as if it didn't have the Smite Keyword. Multiple Counter can be expended against the same Attack if desired and may be done after seeing the Accuracy Roll."
Dream Smoke_pte,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by an Attack from an Adjacent Enemy
Connection - Smokescreen. 
Effect: The Triggering Enemy becomes Drowsy. 
Bonus: When the user uses Smokescreen, Smoke Hazards created that way also cause Enemies to become Drowsy if they move through it or end their Turn in the Hazard."
Drizzle_pte,"At-Will - Swift Action
Effect: The Weather becomes Rainy. 
Bonus: While the Weather is Rainy, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat."
Drought_pte,"At-Will - Swift Action
Effect: The Weather becomes Sunny. 
Bonus: While the Weather is Sunny, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat."
Drown Out_pte,"At-Will - Swift Action
Trigger - The user uses an Attack with the Sonic Keyword
Effect: The Target gains a penalty to Accuracy equal to your Tier Level until the end of their next Turn. If they fail a Standard CR (2) Focus Check, they instead become Deafened. Deafened is a Physical Status Affliction that has the same Accuracy Penalty while they’re affected by the Affliction. If the user is Tier 3, it becomes a Tough CR (3) Focus Check instead. 
Bonus: The user’s Attacks with the Sonic Keyword gain the Smite Keyword against Enemies that are adjacent to you.  "
Dusk Body,"Scene - Swift Action
Effect: The user restores two Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points or is cured of a Physical Status Affliction. If the user is in Foggy Weather, the Frequency of Dusk Body isn’t expended. This Ability can only ignore its Frequency twice in a Scene."
Dust Cloud_pte,"Scene x2 - Swift Action
Trigger - You use a Bug, Ground, Grass or Poison Type Status Attack
Connection - Smokescreen. 
Effect: You create Smoke Hazards (Refer to Smokescreen) in a 3x3 Zone, centered on one of the Targets of the Triggering Attack. "
