Attack Name,Type,Class,Frequency,Range,AC,DB,Effect,Versatile Effect,Attack Tier
Razor Leaf,Grass,Physical,At-Will,Close Blast 2,5,6,Razor Leaf is a Critical Hit on a roll of 18+.,--,Tier 1
Seed Bomb,Grass,Physical,EOT,"8, 1 Target",4,8,"On a roll of 15+, you may choose to destroy a Coat on the Target. If they have Negative CS in Defense, this automatically triggers.",--,Tier 2
Sleep Powder,Grass,Status,Scene x2,"6, Ranged Blast 2, Hazard, Versatile",7,,"All Targets hit by this Attack become Drowsy. Powder Hazards may then be set on the spaces in the range of this Attack until the end of the next Round. Whenever an Enemy triggers this Hazard they become Drowsy or lose a Tick of Hit Points if they're already Drowsy. 

Powder Hazard - Whenever an Enemy passes through or ends their turn on a Powder Hazard the Effect listed is applied. Users with the Breathless Capability ignore this Hazard.","When used this way, the Attack's range becomes 4, 1 Target. The Target becomes Drowsy.",Tier 2
Snap Trap,Grass,Physical,Scene x2,"Melee, 1 Target",3,8,"On a 15+, the Target cannot perform a Movement Action during their next Turn. You may perform a Grapple Maneuver against the Target as a Swift Action if desired.",--,Tier 2
Solar Beam,Grass,Special,Scene,"Line X, Set-Up",4,8,"Charge Effect: If the Weather is Foggy, you cannot use this Charge Effect. If the Weather is Sunny, you instead gain 2 Charge Tokens. 
Resolution Effect: X is equal to 4 plus the number of Charge Tokens you expend. This Attack’s Damage Base is increased by +2 for each Charge Token you expend. Smite",--,Tier 2
Solar Blade,Grass,Physical,Scene,"Melee, Pass, Set-Up",5,10,"Charge Effect: If the Weather is Sunny, you instead gain 2 Charge Tokens. 
Resolution Effect: For each Charge Token you expend when using this Attack, extend the Pass Range by +1 Space. If you expend at least 3 Charge Tokens and Pass is used, you may change your direction once during the movement. Smite",--,Tier 3
Spicy Extract,Grass,Status,Scene x2,"Melee, 1 Target, Versatile",,,The Target gains +2 CS in Attack or Special Attack. Their Damaging Attacks also gain a 15+ Effect Range to Burn their Targets. This Effect Range is removed after it is Triggered.  ,The Target's next Effect Range that would burn is automatically Triggered if it hits a Target. This may also target the user when used this way.  ,Tier 2
Spiky Shield,Grass,Status,Scene,"Self, Shield, Trigger",,,"If the user is hit by an Attack, the user may use Spiky Shield as a Standard Action + Reaction. The user and all Adjacent Targets resist the Attack by an additional Damage Step. Additionally if the Attacker was Adjacent to the user, they become Wounded.",--,Tier 3
Spore,Grass,Status,Scene,"4, 1 Target",,,The Target becomes Drowsy. Sureshot.,"The Target becomes Drowsy. When used this way, its AC becomes 8 and it loses the Sureshot Keyword. If this Attack misses, its Frequency is not expended. ",Tier 3
Strength Sap,Grass,Status,Scene x2,"Melee, 1 Target, Versatile",4,,"On a hit, the user restores Hit Points or gains Temporary Hit Points equal to the higher of the Target's Attack or Special Attack. The Target loses -2 CS in Attack or Special Attack. Spirit Surge.",The Target becomes Weakened until the end of their next Turn.,Tier 2
Stun Spore,Grass,Status,Scene x2,"6, Ranged Blast 2, Hazard, Versatile",6,,"All Targets hit by this Attack become Paralyzed. Powder Hazards may then be set on the spaces in the range of this Attack until the end of the next Round Whenever an Enemy triggers this Hazard they become Paralyzed or lose a Tick of Hit Points if they're already Paralyzed. 

Powder Hazard - Whenever an Enemy passes through or ends their turn on a Powder Hazard the Effect listed is applied. Users with the Breathless Capability ignore this Hazard.","When used this way, the Attack's range becomes 4, 1 Target. The Target becomes Paralyzed.",Tier 2
Synthesis,Grass,Status,Scene x2,"Self, Healing, Versatile",,,"The user restores 5 Ticks of Hit Points. If the Field or Space the user is standing on is affected by an Grass Attack or the Weather is Sunny, the user is also cured of a Status Affliction. This cannot be used if there is Weather other than Sunny on the Field.",The user restores 2 Ticks of Hit Points.Synthesis can only be used this way if the Field is affected by an Grass Attack or the Weather is Sunny and there is no other Weather on the Field.,Tier 2
Syrup Bomb,Grass,Special,EOT,"5, 1 Target; or Close Blast 2",5,7,"On a roll of 17+, the Target becomes Slowed. If this Attack only has one Target, the AC becomes 3.",--,Tier 1
Trop Kick,Grass,Physical,EOT,"Melee, 1 Target, Dash",2,6,"If the Dash Keyword is Activated, the Target loses -2 CS in Defense.",--,Tier 1
Vine Whip,Grass,Physical,At-Will,"4, 1 Target",3,4,Smite. Grants Threaded,--,Tier 1
Twin Rose Beam,Grass,Special,Scene x2,"8, 1 Target",4,9,"On a roll of 15+, the Target gains a Status Affliction. If this effect is triggered, roll a 1d3; on a 1 the Target is Paralyzed; on a 2 the Target is Poisoned; on a 3 the Target becomes Drowsy.",--,Tier 2
Wild Growth,Grass,Status,Scene x2,"Blessing, Versatile",,,"Blessing - Any user affected by Wild Growth may activate it as a Free Action when using a Grass Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Wild Growth may be Activated 3 times and then disappears. ","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Wood Hammer,Grass,Physical,Scene x2,"Melee, 1 Target, Recoil 1/3, Reckless",2,11,"If the Target is smaller than the user, they cannot Trigger Reactions against this Attack.",--,Tier 3
Worry Seed,Grass,Status,Scene x2,"8, 1 Target",3,,"The Target becomes Worried. Worried is considered a Mental Affliction that makes the user immune to becoming Drowsy. While Worried, a Combatant has all of their Abilities Disabled. ",The Target becomes Worried until the end of the next Round.,Tier 2
Vine Shield,Grass,Status,Scene,"Self, Shield, Trigger",,,"If the user is hit by an attack, the user may use Vine Shield as a Standard Action + Reaction. The user is instead not hit by the Attack. The user does not take any damage nor are they affected by any of the Attack’s effects. In addition, if the Weather is Sunny, the user restores two Ticks of Hit Points.  ",--,Tier 3
Aftershock,Ground,Special,EOT,"Burst 1, Groundsource",5,8,"If a Groundsource Attack has been used in this round or the previous round, all Targets cannot apply Evasion against this Attack.",--,Tier 2
Bone Club,Ground,Physical,At-Will,"Melee, 1 Target",2,7,"On a roll of 18+, the Target becomes Wounded.",--,Tier 1
Bone Rush,Ground,Physical,EOT,"Melee, 1 Target",4,4,"If Bone Rush hits at least 4 times, the Target becomes Wounded. Five Strike",--,Tier 1
Bonemerang,Ground,Physical,EOT,"6, 1 Target or 3, 2 Targets",5,5,"If this Attack only has one Target, it has the Double Strike Keyword. ",--,Tier 1
Bulldoze,Ground,Physical,EOT,"Burst 1, Groundsource",5,6,"All Cover Terrain within 3m may be destroyed. Within GM Discretion, Blocking Terrain within 3m may become Cover Terrain instead.",--,Tier 1
Drill Run,Ground,Physical,EOT,"Melee, 1 Target, Dash",3,8,"Drill Run is a Critical Hit on a roll of 18+. If the Dash Keyword is Activated, on a roll of 15+, the Target becomes Wounded.",--,Tier 2
Dual Quake,Ground,Physical,Scene x2,"3, 2 Targets, Full Action, Groundsource",5,9,Smite. *Grants Groundshaper,--,Tier 2
Dust Cloud,Ground,Status,EOT,"5, Ranged Blast 3, Hazard, Versatile",,,"Dust Cloud creates Smoke Hazards within the Range of this Attack. All Non-Ground and Rock Type Combatants are Vulnerable while on Smoke Hazards created this way

Smoke Hazard - Smoke Hazards break line of sight. Combatants on a Smoke Hazards are treated as Untargetable by all other Combatants that aren't in a contiguous Smoke Hazard. Combatants on a Smoke Hazard treat all Combatants that aren't in a contigous Smoke Hazard as if they were Untargetable. These Effects are ignored by Combatants with Tremorsense or Blindsense. You can still be Untargetable this way even if you were last Round.",Same as the normal Effects but the Hazards are removed at the end of the Round unless the Weather is Sandstorm,Tier 1
Dust Storm,Ground,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Dusty for the next 5 Rounds. While the Field is Dusty, non Ground Type Enemies lose a Tick of Hit Points at the start of their Turn and Ground Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Dusty, the Weather becomes Sandstorm.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Dusty Day,Ground,Status,Scene x2,"Field, Blessing, Versatile, Weather",,,"Blessing - Any user affected by Dusty Day may activate it as a Free Action when using a Ground Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Dusty Day may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Sandstorm.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Earth Power,Ground,Special,EOT,"6, 1 Target, Groundsource",4,9,"On a roll of 17+, the Target becomes Tripped. *Grants Groundshaper",--,Tier 2
Earth Shard,Ground,Physical,At-Will,"6, 1 Target, Priority",3,4,--,--,Tier 1
Earthquake,Ground,Physical,Scene x2,"Burst 1 or Burst 2 or Burst 3; Full Action, Groundsource",7,10,Smite. *Grants Groundshaper,--,Tier 3
Headlong Rush,Ground,Physical,Scene x2,"Melee, 1 Target, Dash, Reckless",4,12,"If the Dash Keyword is Activated, both the user and the Target lose -3 CS in Defense. Smite. ",--,Tier 3
High Horsepower,Ground,Physical,Scene x2,"Melee, 1 Target, Dash",3,10,"If the Dash Keyword is Activated, High Horsepower has the Smite Keyword.",--,Tier 3
Landslide,Ground,Physical,EOT,"6, Ranged Blast 2, Full Action",5,8,"You may create Blocking Terrain [Breakable - Dense], in all unoccupied spaces in the Range of this Attack. If the user is Large Size+, the Blocking Terrain created this way is Large, otherside it is Small. Spirit Surge.",--,Tier 2
Magnitude,Ground,Physical,EOT,"Burst 1 or Burst 2; Full Action, Groundsource",6,,"When you use Magnitude, roll a d10. Magnitude’s Damage Base is equal to 3+X, where X is the value of the d10.  *Grants: Groundshaper",--,Tier 2
Mud Bomb,Ground,Special,EOT,"4, 1 Target or Burst 1",4,7,"This Attack may originate from any Enemy with a Mud Coat. If it does, the Mud Coat is destroyed and they lose a Tick of Hit Points per Mud Counter they had. Spirit Surge",--,Tier 1
Mud Hurl,Ground,Special,At-Will,"4, 1 Target, Coat",2,4,"All Targets gain a Mud Coat. 

Combatants with a Mud Coat start with 1 Mud Counter and gain 1 more each time they would gain a Mud Coat while already having one. They have a -1 Penalty to Accuracy for each Mud Counter they have. As a Swift+Movement Action, they may remove 2 of their Mud Counters. If they would ever result in 0 Mud Counters, the Mud Coat is expended.",--,Tier 1
Mud Shot,Ground,Special,At-Will,"Line 3, Coat",5,6,"All Targets gain a Mud Coat. 

Combatants with a Mud Coat start with 1 Mud Counter and gain 1 more each time they would gain a Mud Coat while already having one. They have a -1 Penalty to Accuracy for each Mud Counter they have. As a Swift+Movement Action, they may remove 2 of their Mud Counters. If they would ever result in 0 Mud Counters, the Mud Coat is expended.",--,Tier 1
Mud Sport,Ground,Status,EOT,"Burst 1 or Burst 2; Coat, Versatile",5,,"All Targets gain a Mud Coat. If this Attack hits and they already had a Mud Coat, roll 1d4 and they gain that many Mud Counters instead.  

Combatants with a Mud Coat start with 1 Mud Counter and gain 1 more each time they would gain a Mud Coat while already having one. They have a -1 Penalty to Accuracy for each Mud Counter they have. As a Swift+Movement Action, they may remove 2 of their Mud Counters. If they would ever result in 0 Mud Counters, the Mud Coat is expended. Spirit Surge","All Targets gain a Mud Coat. When used this way, the Range becomes Burst 1.",Tier 1
Mud-Slap,Ground,Special,At-Will,"Close Blast 2, Coat",5,4,"All Targets gain a Mud Coat. 

Combatants with a Mud Coat start with 1 Mud Counter and gain 1 more each time they would gain a Mud Coat while already having one. They have a -1 Penalty to Accuracy for each Mud Counter they have. As a Swift+Movement Action, they may remove 2 of their Mud Counters. If they would ever result in 0 Mud Counters, the Mud Coat is expended.",--,Tier 1
Quicksand,Ground,Special,EOT,"3, 1 Target, Groundsource",4,8,"On a roll of 15+, the Target becomes Slowed. The Target's Movement Speed is halved until the end of their next Turn. Spirit Surge",--,Tier 2
Rototiller,Ground,Status,Scene x2,"Burst 2, Versatile",,,"Create a 5x5 Zone centered on the user. Whenever you or a Bug or Grass Type Ally end their Turn in this Zone, they gain +1 CS to a Stat of their Choice. Spaces in this Zone that were Slow or Rough Terrain become Normal Terrain.","Same as the normal Effects, but the Zone becomes 3x3 and the user cannot benefit from Terrain created this way.",Tier 2
Sand Attack,Ground,Status,EOT,"2, 1 Target, Versatile",,,The Target becomes Blinded until the end of their next Turn. The Target loses -1 Accuracy. Sureshot.,The Target loses -1 Accuracy. Sureshot.,Tier 1
Sand Cannon,Ground,Physical,EOT,"6, 1 Target",4,8,"On a roll of 17+, the Target loses -1 Accuracy. If the Weather is Sandstorm, Sand Cannon has the Smite Keyword.",--,Tier 2
Sand Pit,Ground,Status,EOT,"4, 1 Target, Groundsource, Versatile",4,,"The Target becomes Slowed and is Vulnerable while Slowed this way. On a roll of 15+, they lose -3 Evasion.",The Target loses -3 Evasion.,Tier 1
Sand Tomb,Ground,Physical,Scene x2,"4, Ranged Blast 2",5,6,"After this Attack resolves, create a Zone within the Range of this Attack. All Combatants are Blinded while they’re within this Zone. Unless the Weather is Sandstorm, the Zone lasts until you use a Reaction, use an Attack or Faint. Spirit Surge",--,Tier 2
Sandy Terrain,Ground,Status,Scene x2,"Field, Versatile, Weather",,,"The field becomes Sandy for the next 5 Rounds. While the field is Sandy, all spaces are treated as Slow Terrain for Combatants without the Naturewalk (Desert) Capability, and Ground Type attacks ignore Speed Evasion. While the Field is Sandy, the Weather may become Sandstorm.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Scorching Sands,Ground,Special,EOT,"4, 1 Target",4,8,"On a roll of 15+, the Target becomes Burned. If the Weather is Sandstorm, this Effect Range automatically triggers.",--,Tier 2
Shifting Soil,Ground,Special,Scene x2,"6, 1 Target, Groundsource",4,10,Slide 2.,--,Tier 3
Shore Up,Ground,Status,Scene x2,"Self, Healing, Versatile",,,"The user restores 5 Ticks of Hit Points. If the Field or Space the user is standing on is affected by an Ground Attack or the Weather is Sandstorm, the user is also cured of a Status Affliction. This cannot be used if there is weather other than Sandstorm on the Field.",The user restores 2 Ticks of Hit Points. Shore Up can only be used this way if the Field is affected by an Ground Attack or the Weather is Sanstorm and there is no other Weather on the Field.,Tier 2
Sinkhole,Ground,Status,EOT,"6, Ranged Blast 3, Hazard, Versatile",,,"Sinkhole creates Sinking Hazards within each Space of this Attack's Range. Combatants with the Naturewalk (Desert) or Naturewalk (Wetlands) Capability are Immune to the Effects of Sinking Hazards created this way.

Sinking Hazards - Spaces with Sinking Hazards are treated as Slow Terrain. Any Combatant who ends their Turn on a Sinking Hazard becomes Slowed and cannot use Bolster Maneuvers while Slowed this way. The Slowed Affliction cannot be cured by Combatants on this Hazard. If any Combatant ends their Turn within 1m of this Hazard, they are Slid into a Space affected by this Hazard.","Same as the normal Effects, but the range instead becomes 6, Ranged Blast 2, Hazard.",Tier 1
Spikes,Ground,Status,At-Will,"6, Hazard, Swift Action",,,"Choose 8 Spaces within the Range of this Attack to create Spike Hazards in, such that all 8 Spaces are Adjacent to at least one other Spike Hazard.

Spike Hazards - Spaces with Spike Hazards are treated as Slow Terrain. Any Enemy that passes through a Spike Hazard loses one Tick of Hit Points and cannot gain Hit Points or Temporary Hit Points until the end of the Round.",--,Tier 1
Stomping Tantrum,Ground,Physical,EOT,"Melee, 1 Target",4,8,"If the user's last Attack missed or they are Enraged, Stomping Tantrum is DB 13 instead.",--,Tier 2
Tectonic Burst,Ground,Physical,Scene,"8, Ranged Blast 3, Full Action, Groundsource",7,10,"Tectonic Burst has the Sureshot Keyword against Targets that are Vulnerable, Tripped, Trapped or Slowed. Smite",--,Tier 3
Terraform,Ground,Status,Scene x2,"6, Trigger, Groundsource, Versatile",,,"Choose 6 Unoccupied Spaces within the Range of this Attack to create Blocking Terrain in, such that all 6 Spaces are Adjacent to at least one other Blocking Terrain. Blocking Terrain created this way is [Breakable - Fragile]. Terraform may also be used as an Standard Action + Reaction when an Enemy uses a Physical Ranged Attack, in which you must place the Terrain in a way to block the Line of Sight for that Attack. *Grants Groundshaper ",Same as the normal Effects but you may only choose 2 Unoccupied Spaces and this can't be used as an Reaction.,Tier 2
Tremor,Ground,Physical,At-Will,"6, 1 Target, Groundsource",3,4,"On a roll of 17+, the Target becomes Tripped. *Grants Groundshaper",--,Tier 1
Arctic Quake,Ice,Physical,Scene x2,"Burst 2, Full Action, Groundsource",7,10,"If desired, the user may turn all spaces within the range of this Attack into rough terrain. Terrain created this way can be ignored by any combatant with the Naturewalk (Tundra) Capability. Smite. Spirit Surge.",--,Tier 3
Aurora Beam,Ice,Special,EOT,"4, 1 Target",3,7,The user may use their Special Defense as the Offensive Stat for this Attack instead of Special Attack.,--,Tier 1
Aurora Veil,Ice,Status,Scene x2,"Blessing, Versatile",,,"Blessing – Any user affected by Aurora Veil may activate it as a Free Action when receiving Damage to gain DR against it equal to their Tier Value. Aurora Veil may be Activated 3 times, and then disappears. ","The Weather must be Snowy or Mystical in order to use this Attack this way. Same as the normal Effect, but it only has one Activation.",Tier 2
Avalanche,Ice,Physical,EOT,"6, Ranged Blast 2, Full Action",5,8,"You may create Blocking Terrain [Breakable - Dense], in all unoccupied spaces in the Range of this Attack. If the user is Large Size+, the Blocking Terrain created this way is Large, otherside it is Small. Spirit Surge.",--,Tier 2
Blizzard,Ice,Special,Scene x2,"5, Ranged Blast 3, Full Action",7,11,"Blizzard Chills all Targets on a roll of 15+. If the Weather is Snowy, Blizzard has the Sureshot Keyword. Smite",--,Tier 3
Cleansing Aurora,Ice,Status,Scene x2,"Blessing, Versatile",,,Blessing - Any user affected by Cleansing Aurora may activate it as a Free Action when gaining a Status Affliction to instead not gain that affliction. Cleansing Aurora may also be Activated as a Swift Action to restore 2 Ticks of Hit Points to the activator or cure an affliction they have. Cleansing Aurora may be Activated three times before disappearing. ,"The Weather must be Snowy or Mystical in order to use this Attack this way. Same as the normal Effect, but it only has one Activation.",Tier 2
Crystal Slash,Ice,Physical,EOT,"Melee, Pass",6,8,"Crystal Slash is a Critical Hit on a roll of 18+. If this Attack is used without activating the Pass Keyword, thiis has the Smite Keyword.",--,Tier 2
Freeze-Dry,Ice,Special,EOT,"6, 1 Target",3,7,"When calculating Weakness and Resistance for Freeze-Dry, Water Typed Targets calculate damage as if Water was weak to Ice. If the Weather is Snowy or the Target is Water Type, on a Roll of 16+, the Target becomes Chilled.",--,Tier 1
Frostbite,Ice,Status,Scene x2,"Melee, 1 Target, Versatile",6,,"On a Hit, the Target becomes Chilled. On a Miss, the Target becomes Wounded. On a roll of 18+, they gain both. Spirit Surge.","The Target becomes Wounded. If the Target is already Wounded, they become Chilled instead.",Tier 2
Frost Blast,Ice,Special,EOT,Close Blast 2,6,8,"On a roll of 16+, all Targets becomes Slowed. If the Weather is Snowy, this may also be used as if it were Close Blast 3.",--,Tier 2
Frost Breath,Ice,Special,EOT,Line 4,5,6,"On a roll of 18+, all Targets become Chilled. If the Weather is Snowy or as a Swift+Movement Action, this Attack gains the Smite Keyword.",--,Tier 1
Frost Typhoon,Ice,Special,Scene,"8, Ranged Blast 3, Full Action",7,12,"On a roll of 16+, all Targets become Chilled. If the Weather is Snowy this has the Smite Keyword. This Attack is a Critical hit on a 17+ against Chilled Targets. ",--,Tier 3
Frozen Claw,Ice,Physical,EOT,"Melee, 1 Target",3,8,"On a roll of 17+, the Target gains the Wounded or Chilled Affliction.",--,Tier 2
Frozen Rush,Ice,Physical,EOT,"Melee, 1 Target, Dash",3,8,"If the Weather is Snowy, or the Dash Keyword is Activated, Frozen Rush has Sureshot against Targets that are Medium or Small Sized.",--,Tier 2
Frozen Terrain,Ice,Status,Scene x2,"Field, Versatile, Weather",,,"The field becomes Frozen for the next 5 Rounds. While the field is Frozen, Melee Attacks have a 16+ Effect Range to Trip their Target, and Ice Type attacks ignore Speed Evasion. While the Field is Frozen, the Weather may become Snowy.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Glaciate,Ice,Special,EOT,Burst 1 or Burst 2; Full Action,6,9,All Targets hit by this Attack have their Movement Value halved until the end of their next Turn. Spirit Surge,--,Tier 2
Hail,Ice,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Hailing for the next 5 Rounds. While the Field is Hailing, non Ice Type Enemies lose a Tick of Hit Points at the start of their Turn and Ice Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Hailing, the Weather becomes Snowy.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Haze,Ice,Status,Scene x2,"Burst 5, Versatile",5,,"Enemies and any Allies of your choice within the Range of this Attack have all of their Stats increased or lowered to their Default CS Value. On a hit, the Target cannot increase their CS for the rest of the Round. Spirit Surge","Powder Hazards are created in a Ranged Blast 3 centered on the User, which last until the end of the next Round. Enemies who Trigger this Hazard have their Stats increased or lowered to their Default Value. 

Powder Hazard - Whenever an Enemy passes through or ends their turn on a Powder Hazard the Effect listed is applied. Users with the Breathless Capability ignore this Hazard.",Tier 2
Ice Ball,Ice,Physical,At-Will,"Melee, Pass, Dash ",5,5,"The user gains 2 Rolled Counters. The user has a bonus to Damage Base for their Dash Attacks equal to their Rolled Counters. While they have Rolled Counters, they do not trigger Attacks of Opportunity when moving. The user loses all Rolled Counters if they miss a Dash Attack. Spirit Surge.",--,Tier 2
Ice Beam,Ice,Special,EOT,"6, 1 Target",4,9,"On a roll of 19+, the Target becomes Chilled. Smite",--,Tier 2
Ice Fang,Ice,Physical,At-Will,"Melee, 1 Target, Bite",2,7,"On a roll of 18+, Roll a d2. On a 1, the Target becomes Chilled. On a 2, the Target becomes Wounded.",--,Tier 1
Ice Hammer,Ice,Physical,Scene x2,"Melee, 1 Target, Recoil 1/3, Reckless",4,11,"If the Target is smaller than the user, this has the Sureshot Keyword. Smite",--,Tier 3
Ice Punch,Ice,Physical,At-Will,"Melee, 1 Target, Punch",3,8,"On a roll of 18+, the Target becomes Chilled.",--,Tier 2
Ice Shard,Ice,Physical,At-Will,"4, 1 Target, Priority ",3,4,--,--,Tier 1
Ice Spinner,Ice,Physical,EOT,"Burst 1, Dash",5,7,"If the Dash Keyword is Activated, the user destroys any Cover or Rough Terrain or Hazards they move through or are adjacent to while moving, ignoring their Effects and turning them to Basic Terrain or destroying them.",--,Tier 1
Icicle Crash,Ice,Physical,EOT,"6, 1 Target",4,9,"This may be used as a Full Action to treat its Range as if it were 6, Ranged Blast 2.",--,Tier 2
Icicle Spear,Ice,Physical,EOT,"6, 1 Target",5,4,"If Icicle Spear hits 5 times, the Target becomes Chilled. Five Strike",--,Tier 1
Icicle Storm,Ice,Physical,Scene,"8, Ranged Blast 2, Full Action",7,10,"If the Weather is Snowy, this gains the Five Strike Keyword. Smite.",--,Tier 3
Icy Wind,Ice,Special,EOT,Close Blast 2,5,6,"On a roll of 16+, all Targets become Slowed. If the Weather is Snowy, Icy Wind has the Sureshot Keyword. ",--,Tier 1
Mist,Ice,Status,Scene x2,"5, Ranged Blast 3, Hazard, Versatile",,,"Mist creates Smoke Hazards within the Range of this Attack. Whenever an Enemy passes through a Smoke Hazard created this way, all of their Stats are raised or lowered to their Default Value. Combatants within a Smoke Hazard created this way cannot have their CS increased or decreased.

Smoke Hazard - Smoke Hazards break line of sight. Combatants on a Smoke Hazards are treated as Untargetable by all other Combatants that aren't in a contiguous Smoke Hazard. Combatants on a Smoke Hazard treat all Combatants that aren't in a contigous Smoke Hazard as if they were Untargetable. These Effects are ignored by Combatants with Tremorsense or Blindsense. You can still be Untargetable this way even if you were last Round.",Same as the normal Effects but the Hazards are removed at the end of the Round unless the Weather is Snowy.,Tier 2
Powder Snow,Ice,Special,At-Will,Close Blast 2,5,4,"If the Weather is Snowy, all Targets have a -2 Accuracy Penalty to their next Attack this Round.",--,Tier 1
Soft Served,Ice,Status,Scene x2,"Melee, 1 Target, Healing, Versatile",,,The Target restores 5 Ticks of Hit Points.,"The user may lose any number of Ticks of Hit Points, then the Target gains the amount of Hit Points you lost.",Tier 2
Snowstorm,Ice,Status,Scene x2,"Blessing, Versatile, Weather",,,"Blessing - Any user affected by Snowstorm may activate it as a Free Action when using a Ice Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Snowstorm may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Snowy.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Thermodrain,Ice,Special,EOT,"6, 1 Target",3,7,"If this Targets a Fire Type Pokemon, they're considered to be Weak to Ice when calculating damage. If the Weather is Snowy or the Target is Fire Type, Thermodrain has the Drain Keyword.",--,Tier 1
Triple Axel,Ice,Physical,EOT,"Melee, 1 Target",5,6,"After attacking with Triple Axel, hit or miss, the user may Slide up to 2m and attack a different Target with Triple Axel. This effect may be repeated a second time, Targeting a combatant that has not been Targeted by either prior attack. Before making each attack roll, the user may choose to not trigger all remaining additional slides and attacks. Triple Axel gains +1 Accuracy and +1 DB for each Attack that is given up. Triple Axel always benefits from the Technician Ability.",--,Tier 2
Whiteout,Ice,Status,Scene x2,"5, Ranged Blast 3, Versatile",,,"Create a Zone within the Range of the Attack. Any Enemy within this Zone without the Naturewalk (Tundra) Capability must make a CR 4 Perception Check at the start of their Turn or else they become Blinded until the end of their Turn. Spaces in this Zone are treat the Weather as if it were Snowy. If the user Faints, this Zone is removed.",Same as the normal Effects but the Zone is removed at the end of the Round. ,Tier 2
Acupressure,Normal,Status,EOT,"Melee, 1 Target",4,,"The Target becomes Vulnerable or Weakened of your choice until the end of the next Round. On a roll of 17+, they instead have both applied for the same duration. If the Target is an Ally, they instead have a Random Stat increased by +2 CS.","Roll a d2. On a 1, the Target becomes Vulnerable until the end of the Round, or on a 2, the Target becomes Weakened until the end of the Round.",Tier 1
After You,Normal,Status,Scene x2,"6, 1 Target ",,,"After You can only be used as a Reaction when you use an Attack against a Single Enemy and it must Target the Ally that is acting alongside you during this Initiative. The Target may immediately use an Attack if they have an Action to do so, resolving it before the Triggering Attack, but it must Target only the Enemy the Triggering Attack Targeted. Their Attack has the Sureshot Keyword. After their Attack resolves, you may finish resolving the Triggering Attack. If they fainted, you do not regain the Action spent to use the Triggering Attack. ",--,Tier 2
Assist,Normal,Status,Scene x2,"Melee, 1 Target, Swift Action",,,The Target may choose to perform their next Accuracy Check or Save Check this round twice. ,--,Tier 2
Attract,Normal,Status,Scene x2,"Burst 2, Social",,,"The user uses a Intrigue Maneuver against all Targets as a Free Action. If the Maneuver Hits, the Target automatically fails the opposed Check. Friendly, Sureshot.",--,Tier 2
Barrage,Normal,Physical,EOT,"6, 1 Target ",4,6,"If this Attack hits, roll 5d20. For each one that resulted in a  Natural 16+, they lose -1 CS in Defense. Smite",--,Tier 1
Battle Rage,Normal,Status,Scene,"Self, Versatile",,,"The user gains +3 CS in Attack and becomes Enraged, if not already. This Attack may be used even if the user is Enraged.",The user becomes Enraged and their next Damaging Attack has the Smite Keyword.,Tier 3
Baton Pass,Normal,Status,At-Will,"Self, Movement Action, Versatile",,,"The user is replaced with another Pokémon from their trainer’s roster, performing a full switch. All CS Values and Coats on Baton Pass’ user are transferred to the replacement. The replacement’s default combat stages are ignored in any stat that has CS transferred to it.","The Target's CS Values become replaced by the users, then the user's CS is set to its Default Stages. When used this way, the range becomes Melee, 1 Target and can only Target an Ally",Tier 1
Belly Drum,Normal,Status,Scene,"Self, Full Action + Movement Action, Priority",,,"Belly Drum must be declared at the start of a Round as a Priority Free Action. The user then becomes Vulnerable until the end of the Round. At the end of the Round, if you have an Action to do so, you must use Belly Drum as a Full Action + Movement Action. You then gain +6 Attack CS.",--,Tier 3
Bestow,Normal,Status,EOT,"Melee, 1 Target, Movement Action",,,"This Attack can only Target an Ally. Choose a Item you have equipped or a Stat. If you chose an Item, you unequip that Item and it is moved to the Target's Empty Inventory or Equipment Slot. If you chose a Stat, their CS is increased or decreased to match your CS for the corresponding Stat, then your CS for that Stat is set to its Default Value.",--,Tier 1
