Name,Frequency,Base Effect,Trigger,Target,Keywords,Effect
Magic Guard,Static,"Effect: Whenever the user would lose Hit Points (Excluding Damage), they may subtract their Special Defense from the amount lost first. While the Weather is Mystical, the user gains Damage Reduction equal to their Tier Value against Special Attacks. ",,,Defensive,"Static
Keywords - Defensive
Effect: Whenever the user would lose Hit Points (Excluding Damage), they may subtract their Special Defense from the amount lost first. While the Weather is Mystical, the user gains Damage Reduction equal to their Tier Value against Special Attacks. "
Magician,Static,"Connection - Snatch. 
Effect: When using Snatch, you may choose to grant the benefits of the Self-Targeting Attack to both you and an ally within 6m. Whenever you hit an Adjacent Enemy with an Attack or Maneuver, you can perform a Disarm Maneuver against them as a Free Action and you may use Focus instead of Combat or Stealth.",,,,"Static
Connection - Snatch. 
Effect: When using Snatch, you may choose to grant the benefits of the Self-Targeting Attack to both you and an ally within 6m. Whenever you hit an Adjacent Enemy with an Attack or Maneuver, you can perform a Disarm Maneuver against them as a Free Action and you may use Focus instead of Combat or Stealth."
Magma Armor,Scene x2 - Reaction,"Effect: The Triggering Enemy becomes Burned after Damage Resolution
Bonus: Whenever you’re hit with a Melee Damaging Attack from a Burned Enemy, you treat the Type Effectiveness as if it were Resisted. ",You're hit with a Melee Attack,,Defensive,"Scene x2 - Reaction
Keywords - Defensive
Trigger - You're hit with a Melee Attack
Effect: The Triggering Enemy becomes Burned after Damage Resolution
Bonus: Whenever you’re hit with a Melee Damaging Attack from a Burned Enemy, you treat the Type Effectiveness as if it were Resisted. "
Magnet Pull,At-Will - Swift Action,"Effect: Pick up to Two Effects;
- The Target Slides X meters. X is up to 6 meters minus the target’s Weight Class.
- If the Target is within 3m of the user, they become Trapped. 
- The Target cannot enter any space within 2m of you until the start of your next Turn.",,A Combatant within 6m,,"At-Will - Swift Action
Target - A Combatant within 6m
Effect: Pick up to Two Effects;
- The Target Slides X meters. X is up to 6 meters minus the target’s Weight Class.
- If the Target is within 3m of the user, they become Trapped. 
- The Target cannot enter any space within 2m of you until the start of your next Turn."
Memory Wipe,Scene x2 - Special,"Effect: If used as a Swift Action, the last Attack used by the Target becomes Disabled. If used as a Standard Action, the Target becomes Dazed and Paralyzed. *Grants Mind Weaver",,An Enemy within 3m,,"Scene x2 - Special
Target - An Enemy within 3m
Effect: If used as a Swift Action, the last Attack used by the Target becomes Disabled. If used as a Standard Action, the Target becomes Dazed and Paralyzed. *Grants Mind Weaver"
Mental Assault,Static,"Effect: The user’s Psychic Type Damaging Attacks gain a Effect Range of 17+. When this Effect Range is Triggered, roll a d3. On a 1, all Targets become Dazed. On a 2, all Targets become Enraged. On a 3, all Targets become Suppressed. If an Enemy is suffering from a Mental Affliction, they cannot resist the user’s Special Attacks.",,,,"Static
Effect: The user’s Psychic Type Damaging Attacks gain a Effect Range of 17+. When this Effect Range is Triggered, roll a d3. On a 1, all Targets become Dazed. On a 2, all Targets become Enraged. On a 3, all Targets become Suppressed. If an Enemy is suffering from a Mental Affliction, they cannot resist the user’s Special Attacks."
Mental Force,Static,"Effect: Whenever the user hits a Special Attack against an Enemy with negative Combat Stages in Special Defense, it cannot be resisted by any means. While the Weather is Mystical, the user’s Dark, Fairy, Ghost and Psychic Type Attacks that are Special Category ignore Defensive Abilities.",,,,"Static
Effect: Whenever the user hits a Special Attack against an Enemy with negative Combat Stages in Special Defense, it cannot be resisted by any means. While the Weather is Mystical, the user’s Dark, Fairy, Ghost and Psychic Type Attacks that are Special Category ignore Defensive Abilities."
Migraine,Scene x2 - Swift Action,"Effect: The Target gains a Migraine Coat while they have the Triggering Affliction.
Bonus: When the user falls below 50% Hit Points or gains a Mental Affliction, they gain a Migraine Coat. Combatants with a Migraine Coat have a Bane to Skill Checks and a penalty to Save Checks equal to your Tier Level. If the user has a Migraine Coat, they also have a bonus to Effect Ranges equal to their Tier Level.",The user inflicts a Mental Affliction,,,"Scene x2 - Swift Action
Trigger - The user inflicts a Mental Affliction
Effect: The Target gains a Migraine Coat while they have the Triggering Affliction.
Bonus: When the user falls below 50% Hit Points or gains a Mental Affliction, they gain a Migraine Coat. Combatants with a Migraine Coat have a Bane to Skill Checks and a penalty to Save Checks equal to your Tier Level. If the user has a Migraine Coat, they also have a bonus to Effect Ranges equal to their Tier Level."
Mind's Eye,At-Will - Swift Action,"Effect: The Target becomes Marked with a Mind Mark. The user ignores the Special Evasion of Enemies with the Mind Mark. The user resists Special Category Attacks by an additional damage step if it derrives from an enemy with their Mind Mark
Bonus: Ghost Types are not Immune to the user’s Normal and Fighting Type Attacks.",,,,"At-Will - Swift Action
Effect: The Target becomes Marked with a Mind Mark. The user ignores the Special Evasion of Enemies with the Mind Mark. The user resists Special Category Attacks by an additional damage step if it derrives from an enemy with their Mind Mark
Bonus: Ghost Types are not Immune to the user’s Normal and Fighting Type Attacks."
Mirror Armor,Scene - Standard Action,"Effect: The triggering Attack instead misses you. In addition, you may Target an Enemy within 2m and perform an Accuracy Roll with the AC being the Triggering Attack as if you had used it. If the Attack would hit, the Target is instead hit by the Triggering Attack as if they were the original Target. 
Bonus: The user’s Defense and Special Defense Combat Stages cannot be lowered. ",The user would be hit by a non-Adjacent Attack,,Defensive,"Scene - Standard Action
Keywords - Defensive
Trigger - The user would be hit by a non-Adjacent Attack
Effect: The triggering Attack instead misses you. In addition, you may Target an Enemy within 2m and perform an Accuracy Roll with the AC being the Triggering Attack as if you had used it. If the Attack would hit, the Target is instead hit by the Triggering Attack as if they were the original Target. 
Bonus: The user’s Defense and Special Defense Combat Stages cannot be lowered. "
Missile Launch,At-Will - Swift Action,"Connection – Dragon Darts. 
Effect: Select an unoccupied space within 5m to create a Dreepy Token in. This Dreepy Token cannot move this Turn.  
Bonus: Dreepy Tokens have 1 Hit Point but share the creator’s Evasion and can be targeted with Attacks. Whenever the creator would Move, they may allocate movement to their Tokens for them to move. A Dreepy Token may be destroyed as a Free Action when they move into a space occupied by an Enemy. If they do so, the creator may perform a Dragon Type Basic Attack against that Enemy as a Free Action, ignoring range. When a Dreepy Token would faint, they are destroyed instead.  ",,,,"At-Will - Swift Action
Connection – Dragon Darts. 
Effect: Select an unoccupied space within 5m to create a Dreepy Token in. This Dreepy Token cannot move this Turn.  
Bonus: Dreepy Tokens have 1 Hit Point but share the creator’s Evasion and can be targeted with Attacks. Whenever the creator would Move, they may allocate movement to their Tokens for them to move. A Dreepy Token may be destroyed as a Free Action when they move into a space occupied by an Enemy. If they do so, the creator may perform a Dragon Type Basic Attack against that Enemy as a Free Action, ignoring range. When a Dreepy Token would faint, they are destroyed instead.  "
Misty Surge,Scene - Swift Action,"Connection - Misty Terrain. 
Effect: You may use Misty Terrain as a Free Action, however it only lasts until the end of the next Round.
Bonus: At the end of the Round, if the Weather is Mystical, you may use a Reaction to gain +1 CS in a Stat of your choice.",,,,"Scene - Swift Action
Connection - Misty Terrain. 
Effect: You may use Misty Terrain as a Free Action, however it only lasts until the end of the next Round.
Bonus: At the end of the Round, if the Weather is Mystical, you may use a Reaction to gain +1 CS in a Stat of your choice."
Mold Breaker,Static,"Effect: You may use your Physical Attacks as if they had the Full Action Keyword. If you do, they are treated as having the Unstoppable Keyword. ",,,,"Static
Effect: You may use your Physical Attacks as if they had the Full Action Keyword. If you do, they are treated as having the Unstoppable Keyword. "
Molten Ground,At-Will - Swift Action,"Connection - Fire Wall. 
Effect: During this Turn, whenever the user Moves, all spaces they pass through turn into Fire Hazards (See: Fire Wall). ",,,,"At-Will - Swift Action
Connection - Fire Wall. 
Effect: During this Turn, whenever the user Moves, all spaces they pass through turn into Fire Hazards (See: Fire Wall). "
Moody,At-Will - Free Action,"Effect: Roll a d2. On a 2, the user ignores the Trigger and gain a Bad Mood Counter. The user cannot gain more than 2 Bad Mood Counters per Round. 
Bonus: When hitting an Attack, the user may expend 2 Bad Mood Counters to make it become a Critical Hit. After the Attack resolves, they become Enraged. The user cannot expend Bad Mood Counters while Enraged.",The user gains CS or a positive modifier ,,,"At-Will - Free Action
Trigger - The user gains CS or a positive modifier 
Effect: Roll a d2. On a 2, the user ignores the Trigger and gain a Bad Mood Counter. The user cannot gain more than 2 Bad Mood Counters per Round. 
Bonus: When hitting an Attack, the user may expend 2 Bad Mood Counters to make it become a Critical Hit. After the Attack resolves, they become Enraged. The user cannot expend Bad Mood Counters while Enraged."
Mud Dweller,Static,Effect: The user resists Ground and Water Type Attacks by an additional Damage step. Enemies with a Mud Coat have double the Accuracy Penalty when Targeting the user.,,,Defensive,"Static
Keywords - Defensive
Effect: The user resists Ground and Water Type Attacks by an additional Damage step. Enemies with a Mud Coat have double the Accuracy Penalty when Targeting the user."
Mud Shield,Scene x2 - Swift Action ,"Connection - Mud Sport. 
Effect: The Target gains two Ticks of Temporary Hit Points.While they have Temporary Hit Points from this Ability, they are Immune to Electric Type Damage.
Bonus: The user has Damage Reduction equal to their Tier Value against Attacks from enemies that have a Mud Coat.",,The user or an Adjacent Ally ,,"Scene x2 - Swift Action 
Target - The user or an Adjacent Ally 
Connection - Mud Sport. 
Effect: The Target gains two Ticks of Temporary Hit Points.While they have Temporary Hit Points from this Ability, they are Immune to Electric Type Damage.
Bonus: The user has Damage Reduction equal to their Tier Value against Attacks from enemies that have a Mud Coat."
Multiscale,Static,"Effect: While the user is at Full Hit Points, they resist all damage by an additional step. While the user has Temporary Hit Points, they have Damage Reduction equal to their Tier Value. ",,,Defensive,"Static
Keywords - Defensive
Effect: While the user is at Full Hit Points, they resist all damage by an additional step. While the user has Temporary Hit Points, they have Damage Reduction equal to their Tier Value. "
Mummy,At-Will - Reaction,"Effect: A Random Attack or Ability of the Triggering Enemy is disabled. If the Enemy already has the Disabled Affliction, they may instead become Suppressed or Trapped if they’re within 3m of the user. ",The user is hit by an Attack,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by an Attack
Effect: A Random Attack or Ability of the Triggering Enemy is disabled. If the Enemy already has the Disabled Affliction, they may instead become Suppressed or Trapped if they’re within 3m of the user. "
Mycelium Might,At-Will - Swift Action,"Effect: Choose 6 Spaces within 6m to create Mycelium Hazards in, such that all 6 Spaces are Adjacent to at least one other Mycelium Hazard. Mycelium Hazards are treated as Slow Terrain. Any Enemy that passes through a Mycelium Hazard loses a Tick of Hit Points, then the user gains a Tick of Hit Points or a Temporary Tick of Hit Points. If the user faints or is recalled, all Mycelium Hazards are destroyed.",,,,"At-Will - Swift Action
Effect: Choose 6 Spaces within 6m to create Mycelium Hazards in, such that all 6 Spaces are Adjacent to at least one other Mycelium Hazard. Mycelium Hazards are treated as Slow Terrain. Any Enemy that passes through a Mycelium Hazard loses a Tick of Hit Points, then the user gains a Tick of Hit Points or a Temporary Tick of Hit Points. If the user faints or is recalled, all Mycelium Hazards are destroyed."
Mysticism,Static,"Effect: The user adds +5 Points to their Special Defense Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user may use their Special Stat Evasion instead of Defense when Targeted by a Physical Attack if desired.",,,Innate,"Static
Keywords - Innate
Effect: The user adds +5 Points to their Special Defense Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user may use their Special Stat Evasion instead of Defense when Targeted by a Physical Attack if desired."
Mystic Mist,At-Will - Swift Action,"Effect: The Weather becomes Mystical. 
Bonus: While the Weather is Mystical, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. ",,,,"At-Will - Swift Action
Effect: The Weather becomes Mystical. 
Bonus: While the Weather is Mystical, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. "
Mystic Veil,Scene x2 - Free Action,"Effect: The Triggering Ally regains a tick of hit points.
Bonus: The user and allies within 2m of the user have a bonus to Save Checks equal to their Tier Level.",An Ally ends their turn within 2m of the user.,,,"Scene x2 - Free Action
Trigger - An Ally ends their turn within 2m of the user.
Effect: The Triggering Ally regains a tick of hit points.
Bonus: The user and allies within 2m of the user have a bonus to Save Checks equal to their Tier Level."
Natural Cure,Scene - Swift Action,"Effect: The user is cured of all Physical Status Afflictions they have.
Bonus: The user has a bonus to Save Checks equal to double their Tier Level if they have a Physical Affliction.",,,,"Scene - Swift Action
Effect: The user is cured of all Physical Status Afflictions they have.
Bonus: The user has a bonus to Save Checks equal to double their Tier Level if they have a Physical Affliction."
Natural Regality,Scene - Free Action,"Effect: After the Triggering Attack resolves, choose a Manipulate Maneuver to use on all Targets hit by the Triggering Attack. The Maneuver automatically hits. 
Bonus: While the Weather is Sunny, the user's Combat Stages cannot be lowered below their Default CS Value.",The user hits with a Grass Type Attack,,,"Scene - Free Action
Trigger - The user hits with a Grass Type Attack
Effect: After the Triggering Attack resolves, choose a Manipulate Maneuver to use on all Targets hit by the Triggering Attack. The Maneuver automatically hits. 
Bonus: While the Weather is Sunny, the user's Combat Stages cannot be lowered below their Default CS Value."
Needles,At-Will - Reaction,"Effect: After the Trigger resolves, the Triggering Enemy or the Target, respectively, lose a Tick of Hit Points and gains a Needles Coat. While an Enemy has a Needles Coat, all Melee Attacks that hit them have a bonus to Damage Rolls equal to your Tier Value. The Needles coat can be removed as a Movement Action. ",The user is hit by a Melee Attack or hits a Melee Attack,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by a Melee Attack or hits a Melee Attack
Effect: After the Trigger resolves, the Triggering Enemy or the Target, respectively, lose a Tick of Hit Points and gains a Needles Coat. While an Enemy has a Needles Coat, all Melee Attacks that hit them have a bonus to Damage Rolls equal to your Tier Value. The Needles coat can be removed as a Movement Action. "
Neutralizing Gas,Static,"Effect: Enemy Abilities have no Effect while the user is Adjacent to them. If the user is Tier 3, this instead applies to Enemies within 2m of the user. If the user causes an Enemy to become Poisoned, their Abilities have no Effect while they are Poisoned this way. ",,,,"Static
Effect: Enemy Abilities have no Effect while the user is Adjacent to them. If the user is Tier 3, this instead applies to Enemies within 2m of the user. If the user causes an Enemy to become Poisoned, their Abilities have no Effect while they are Poisoned this way. "
Nightfall,At-Will - Swift Action,"Effect: The Weather becomes Foggy. 
Bonus: While the Weather is Foggy, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. ",,,,"At-Will - Swift Action
Effect: The Weather becomes Foggy. 
Bonus: While the Weather is Foggy, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. "
Nimble Strikes,Static,"Effect: The user may add half of their Speed Stat to the Damage Rolls of their Physical Normal Type Attacks or may use their Speed Stat instead of Attack as the Offensive Stat for them. Whenever the user uses Melee Normal Type Attacks, the Target cannot apply Speed Evasion against them.",,,,"Static
Effect: The user may add half of their Speed Stat to the Damage Rolls of their Physical Normal Type Attacks or may use their Speed Stat instead of Attack as the Offensive Stat for them. Whenever the user uses Melee Normal Type Attacks, the Target cannot apply Speed Evasion against them."
No Guard,Static,Effect: The user’s Melee Attacks ignore all Stat Evasion of their Targets. The user has a -3 penalty to Evasion.,,,,"Static
Effect: The user’s Melee Attacks ignore all Stat Evasion of their Targets. The user has a -3 penalty to Evasion."
Odious Spray,Scene x2 - Swift Action,"Connection - Poison Gas. 
Effect: The user creates Gas Hazards in a Ranged Blast 3 centered on one Target of the Attack. Enemies that Trigger this Hazard become Weakened until the end of their next Turn and Poisoned.
Bonus: The user may create a 2x2 Zone within 3m as a Standard Action. This Zone is filled with Gas Hazards that cause those who Trigger it to become Weakened until the end of the next Round and Poisoned.",The user hits with a Poison-Type Attack.,,,"Scene x2 - Swift Action
Trigger - The user hits with a Poison-Type Attack.
Connection - Poison Gas. 
Effect: The user creates Gas Hazards in a Ranged Blast 3 centered on one Target of the Attack. Enemies that Trigger this Hazard become Weakened until the end of their next Turn and Poisoned.
Bonus: The user may create a 2x2 Zone within 3m as a Standard Action. This Zone is filled with Gas Hazards that cause those who Trigger it to become Weakened until the end of the next Round and Poisoned."
Omen,Scene - Swift Action,"Effect: The Target gains an Ominous Coat. When a Combatant with an Ominous Coat misses an Attack or fails a Save Check, the Coat is expended and they become Cursed. A Combatant can only be Cursed this way once per Scene.
Bonus: The user’s Dark and Ghost Type Attacks used as a Standard Action have a 17+ Effect Range of causing the Target to gain an Ominous Coat.  ",,An Enemy within 5m,,"Scene - Swift Action
Target - An Enemy within 5m
Effect: The Target gains an Ominous Coat. When a Combatant with an Ominous Coat misses an Attack or fails a Save Check, the Coat is expended and they become Cursed. A Combatant can only be Cursed this way once per Scene.
Bonus: The user’s Dark and Ghost Type Attacks used as a Standard Action have a 17+ Effect Range of causing the Target to gain an Ominous Coat.  "
Opportunist,Scene x2 - Reaction,"Effect: The user increases their Combat Stages for the same Stat by the amount increased by the Triggering Combatant
Bonus: When the user performs an Attack of Opportunity, they may use an At-Will damaging Attack instead of a Basic Attack so long as the only Target is the Triggering Enemy. ",An Enemy within 5m increases their Combat Stages,,,"Scene x2 - Reaction
Trigger - An Enemy within 5m increases their Combat Stages
Effect: The user increases their Combat Stages for the same Stat by the amount increased by the Triggering Combatant
Bonus: When the user performs an Attack of Opportunity, they may use an At-Will damaging Attack instead of a Basic Attack so long as the only Target is the Triggering Enemy. "
Pack Hunt,Static,"Effect: The user’s Attack of Opportunity can also be triggered when an Adjacent Enemy is hit by a non-Basic Attack from an Ally who is also Adjacent to that Enemy. An Attack of Opportunity can only be Triggered by you this way once per Round. Whenever you Trigger an Attack of Opportunity, you may choose for them to lose a Tick of Hit Points instead of performing a Damage Roll.  ",,,,"Static
Effect: The user’s Attack of Opportunity can also be triggered when an Adjacent Enemy is hit by a non-Basic Attack from an Ally who is also Adjacent to that Enemy. An Attack of Opportunity can only be Triggered by you this way once per Round. Whenever you Trigger an Attack of Opportunity, you may choose for them to lose a Tick of Hit Points instead of performing a Damage Roll.  "
Parasitic Drain,Scene x2 - Swift Action,"Effect: The Attack is treated as having the Drain Keyword. If the user is at Full Hit Points, they instead gain Temporary Hit Points equal to the value they would have gained.",The user hits with an Adjacent Attack,,,"Scene x2 - Swift Action
Trigger - The user hits with an Adjacent Attack
Effect: The Attack is treated as having the Drain Keyword. If the user is at Full Hit Points, they instead gain Temporary Hit Points equal to the value they would have gained."
Parry,Scene x2 - Reaction,"Effect: The user resists the Attack by an additional Damage step. After this Ability resolves, the user may perform a Melee Attack as if it had the Priority and Sureshot Keyword but it must only be against the Triggering Enemy. ",The user is hit with an Attack from an Adjacent Enemy,,Defensive,"Scene x2 - Reaction
Keywords - Defensive
Trigger - The user is hit with an Attack from an Adjacent Enemy
Effect: The user resists the Attack by an additional Damage step. After this Ability resolves, the user may perform a Melee Attack as if it had the Priority and Sureshot Keyword but it must only be against the Triggering Enemy. "
Perish Body,At-Will - Reaction,"Effect: The Triggering Enemy loses -1 Perish Counter or gains a Perish Coat, then they lose a Tick of Hit Points.
Bonus: Whenever an Enemy ends their Turn within 3m of the user, they gain a Perish Coat with 3 Perish Counters or they lose -1 Perish Counter. Whenever an Enemy has 0 Perish Counters left, you may choose to expend their Perish Coat and they’re set to 0 Hit Points. Whenever an Enemy is set to 0 this way, the user loses 5 Ticks of Hit Points. ",The user is hit by an Attack from an Enemy within 3m,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by an Attack from an Enemy within 3m
Effect: The Triggering Enemy loses -1 Perish Counter or gains a Perish Coat, then they lose a Tick of Hit Points.
Bonus: Whenever an Enemy ends their Turn within 3m of the user, they gain a Perish Coat with 3 Perish Counters or they lose -1 Perish Counter. Whenever an Enemy has 0 Perish Counters left, you may choose to expend their Perish Coat and they’re set to 0 Hit Points. Whenever an Enemy is set to 0 this way, the user loses 5 Ticks of Hit Points. "
Pickpocket,At-Will - Free Action,"Effect: The user may either perform a Disarm Maneuver against the Target of the Triggering Attack as a Free Action, or have them lose -1 CS in a Stat they have Positive CS in. If they lose CS via this Ability, the user gains +1 CS in the same Stat.",The user hits an Adjacent Enemy with an Attack,,,"At-Will - Free Action
Trigger - The user hits an Adjacent Enemy with an Attack
Effect: The user may either perform a Disarm Maneuver against the Target of the Triggering Attack as a Free Action, or have them lose -1 CS in a Stat they have Positive CS in. If they lose CS via this Ability, the user gains +1 CS in the same Stat."
Piercing Vision,At-Will - Swift Action,"Effect: The user rolls twice, keeping the better result
Bonus: The user’s Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties, and the user ignores any non-stat Evasion. This ability does not ignore accuracy penalties from the Provoked Condition.",The user makes an Accuracy Check,,,"At-Will - Swift Action
Trigger - The user makes an Accuracy Check
Effect: The user rolls twice, keeping the better result
Bonus: The user’s Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties, and the user ignores any non-stat Evasion. This ability does not ignore accuracy penalties from the Provoked Condition."
Poison Point,Static,Effect: The user’s Melee Attacks that do not have a Poisoned Effect Range gain one at 17+. The user's Poison Effect Ranges (Excluding the one granted by Poison Point) are increased by +2. The user’s Melee Attacks have a bonus to Critical Hit Range equal to your Tier Level if the Target is Poisoned.,,,,"Static
Effect: The user’s Melee Attacks that do not have a Poisoned Effect Range gain one at 17+. The user's Poison Effect Ranges (Excluding the one granted by Poison Point) are increased by +2. The user’s Melee Attacks have a bonus to Critical Hit Range equal to your Tier Level if the Target is Poisoned."
Pollen Bomb,At-Will - Special,"Effect: Choose a Grass Type Damaging Attack on your Battle Attack List, then choose a space within 3m to create a Pollen Bomb Hazard. At the end of the next round, the Pollen Bomb Hazard is destroyed and the chosen Attack is used as a Free Action with its Range being a 3x3 Zone, centered on the Hazard and ignoring Frequency. This Ability costs a Swift Action to use as worded, but you may use it as a Full Action to create three Hazards instead and the range can be up to 6m. 
Note: If an Enemy would be hit by multiple Pollen Bombs at once, instead of applying the attack multiple times against them, it automatically hits but only applies once.",,,,"At-Will - Special
Effect: Choose a Grass Type Damaging Attack on your Battle Attack List, then choose a space within 3m to create a Pollen Bomb Hazard. At the end of the next round, the Pollen Bomb Hazard is destroyed and the chosen Attack is used as a Free Action with its Range being a 3x3 Zone, centered on the Hazard and ignoring Frequency. This Ability costs a Swift Action to use as worded, but you may use it as a Full Action to create three Hazards instead and the range can be up to 6m. 
Note: If an Enemy would be hit by multiple Pollen Bombs at once, instead of applying the attack multiple times against them, it automatically hits but only applies once."
Poltergeist,Static,"Effect: Rotom gains an Immunity to a Type of Damage depending on what Form it has taken. When using the Form Change Capability it may change to the form of its currently possessed item or back to Standard Rotom. These different forms may have different Battle Attack Lists. 

Standard Rotom: Ground
Rotom Heat: Fire
Rotom Wash: Water 
Rotom Frost: Ice 
Rotom Fan: Flying
Rotom Mow: Grass",,,Defensive,"Static
Keywords - Defensive
Effect: Rotom gains an Immunity to a Type of Damage depending on what Form it has taken. When using the Form Change Capability it may change to the form of its currently possessed item or back to Standard Rotom. These different forms may have different Battle Attack Lists. 

Standard Rotom: Ground
Rotom Heat: Fire
Rotom Wash: Water 
Rotom Frost: Ice 
Rotom Fan: Flying
Rotom Mow: Grass"
Polycephaly,Scene - Swift Action,"Effect: The Attack's Range is increased by +1 Target. If it misses all Targets, this Ability's Frequency is not expended.
Bonus: The user's Basic Attacks gain the Double Strike Keyword.",The user performs a Damaging X-Target Attack,,,"Scene - Swift Action
Trigger - The user performs a Damaging X-Target Attack
Effect: The Attack's Range is increased by +1 Target. If it misses all Targets, this Ability's Frequency is not expended.
Bonus: The user's Basic Attacks gain the Double Strike Keyword."
Power of Alchemy,Scene x2 - Free Action,Effect: Choose a non-Innate Ability that the Triggering Enemy or Target has. You learn that Ability until the end of the Scene or until you Faint or the Ability becomes Disabled. You cannot learn unique boss abilities this way. ,The user hits a Melee Attack or is hit by a Melee Attack,,Defensive,"Scene x2 - Free Action
Keywords - Defensive
Trigger - The user hits a Melee Attack or is hit by a Melee Attack
Effect: Choose a non-Innate Ability that the Triggering Enemy or Target has. You learn that Ability until the end of the Scene or until you Faint or the Ability becomes Disabled. You cannot learn unique boss abilities this way. "
Power Spot,At-Will - Swift + Movement Action,"Effect: Create a 3x3 Zone, centered on the user. Allies within this Zone gain a bonus to Damage Rolls equal to your Tier Value and a bonus to Accuracy equal to your Tier Level. When you Faint or gain a Mental Affliction, this Zone is removed. 
Bonus: Adjacent Allies gain these bonuses as well unless they're within this Zone.",,,,"At-Will - Swift + Movement Action
Effect: Create a 3x3 Zone, centered on the user. Allies within this Zone gain a bonus to Damage Rolls equal to your Tier Value and a bonus to Accuracy equal to your Tier Level. When you Faint or gain a Mental Affliction, this Zone is removed. 
Bonus: Adjacent Allies gain these bonuses as well unless they're within this Zone."
Prankster,Static,Effect: The user may use Status Attacks as Priority. This cannot be used if the Status Attack would use an Action other than Standard Action.,,,,"Static
Effect: The user may use Status Attacks as Priority. This cannot be used if the Status Attack would use an Action other than Standard Action."
Pressure,At-Will - Free Action,"Effect: The Triggering Enemy performs a TN 5 Save Check. On a failure, they become Suppressed. If they’re Adjacent, increase the TN by +5. If the user is Tier 3, increase the TN by +5. An Enemy can only become Suppressed this way once per Scene.
Bonus: The user’s Damaging Attacks cause Targets to become Suppressed on a 18+",An Enemy ends their Turn within 3m of you,,,"At-Will - Free Action
Trigger - An Enemy ends their Turn within 3m of you
Effect: The Triggering Enemy performs a TN 5 Save Check. On a failure, they become Suppressed. If they’re Adjacent, increase the TN by +5. If the user is Tier 3, increase the TN by +5. An Enemy can only become Suppressed this way once per Scene.
Bonus: The user’s Damaging Attacks cause Targets to become Suppressed on a 18+"
Pride,At-Will - Reaction,"Effect: After the Attack resolves, the user gains +1 CS in Special Attack or Special Defense.
Bonus: While the user has a Mental Affliction, they have a bonus to Damage Rolls equal to their Tier Value.",The user is hit by an Attack or gains a Mental Affliction,,,"At-Will - Reaction
Trigger - The user is hit by an Attack or gains a Mental Affliction
Effect: After the Attack resolves, the user gains +1 CS in Special Attack or Special Defense.
Bonus: While the user has a Mental Affliction, they have a bonus to Damage Rolls equal to their Tier Value."
Primal Drum,Scene x2 - Swift Action,"Effect: The Range of the user's next Grass Type or Groundsource Attack may be changed to your choice of Burst 2; 6, 2, Targets, or Line 8. 
Bonus: The user's Groundsource Attacks gain the Smite Keyword.",,,,"Scene x2 - Swift Action
Effect: The Range of the user's next Grass Type or Groundsource Attack may be changed to your choice of Burst 2; 6, 2, Targets, or Line 8. 
Bonus: The user's Groundsource Attacks gain the Smite Keyword."
Probability Control,At-Will - Reaction,"Effect: The Triggering d20’s result is replaced with your Stored d20’s value.
Bonus: As a Swift Action, you may roll a d20 and note its result. It becomes your Stored d20 Value. When you use Probability control, you no longer have a Stored d20 Value. If you use this Bonus Effect while you have a Stored d20 Value unused, it may replace the value with the new d20 result. ",You or an Ally roll a d20,,,"At-Will - Reaction
Trigger - You or an Ally roll a d20
Effect: The Triggering d20’s result is replaced with your Stored d20’s value.
Bonus: As a Swift Action, you may roll a d20 and note its result. It becomes your Stored d20 Value. When you use Probability control, you no longer have a Stored d20 Value. If you use this Bonus Effect while you have a Stored d20 Value unused, it may replace the value with the new d20 result. "
Protean,At-Will - Swift Action,"Effect: Before the Attack is performed, the user’s Type(s) changes to match the Type of the triggering Attack. The user returns to their original type(s)(or lack thereof) at the end of the Scene.",The user uses an Attack.,,,"At-Will - Swift Action
Trigger - The user uses an Attack.
Effect: Before the Attack is performed, the user’s Type(s) changes to match the Type of the triggering Attack. The user returns to their original type(s)(or lack thereof) at the end of the Scene."
