Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Beckon,Scene x2,2,Ghost,3d12+10 ,Phys,"7, 1 Target, Sonic","The target immediately Shiftstowards the user, forfeiting their next ShiftAction. This movement does not provokeAttacks of Opportunity. On 17+, the targetadditionally is Trapped."
Bitter Malice,At-Will,2,Ghost,2d6+8 ,Spec,"6, 1 Target","Legal targets hit by Bitter Malice are Stuck andTrapped until the end of their next turn on a 19+.Once a Scene, if Bitter Malice's target has a StatusCondition, you may have Bitter Malice's Damage Basebe 12 instead (3d12+10 / 30)."
Hex,EOT,2,Ghost,2d6+10 ,Spec,"6, 1 Target","Once a Scene, if Hex's target has a StatusAffliction, you may have Hex's Damage Base be 13instead (4d10+10 / 35)."
Infernal Parade,EOT,2,Ghost,2d6+8 ,Spec,"8, Ranged Blast 2","Legal targets hit by Infernal Parade are Burnedon a 17+.Once a Scene, if at least one of Infernal Parade'stargets has a Status Condition, you may have InfernalParade's Damage Base be 12 instead (3d12+10 / 30)."
Last Respects,At-Will,2,Ghost,1d8+8 ,Phys,"Melee, 1 Target",""
Lick,At-Will,2,Ghost,1d6+5 ,Phys,"Melee, 1 Target","Lick Paralyzes the target on 15+ during AccuracyCheck."
Moongeist Beam,Scene x2,2,Ghost,3d8+10 ,Spec,"Line 6","This Move ignores any Abilities that wouldcause it to fail or miss, such as Dodge or WonderGuard; those Abilities cannot be activated in responseto Moongeist Beam."
Ominous Wind,EOT,2,Ghost,2d6+8 ,Spec,"6, 1 Target, Spirit Surge","On 19+, the user has each of its stats raised by +1Combat Stage."
Phantom Encore,Daily,2,,,Status,"","The User Copies the target's attacking move as an interrupt. If the original move was a SpecialAttack, Phantom Encore's uses the move's damage base +5 with recoil 1/3.Aditionnally the user may choose between the original type and ghost type for the damage calculation"
Phantom Force,Scene x2,2,Ghost,2d10+10 ,Phys,"","Melee, 1 Target, Set-Up"
Poltergeist,Scene,4,Ghost,2d6+10 ,Phys,"8, Ranged Blast 3, Smite","If a target is holding a Held Item or Main or Off-Hand item, they must either drop it immediately orlose a Tick of Hit Points. This may only cause a targetto lose at most one Tick of Hit Points, no matter howmany items they were holding. On each of the target'ssubsequent turns, if it is still holding the item(s) inquestion it loses a Tick of Hit Points."
Rage Fist,EOT,2,Ghost,1d8+8 ,Phys,"Melee, 1 Target",""
Shadow Ball,EOT,2,Ghost,2d8+10 ,Spec,"8, 1 Target","Shadow Ball lowers the foe's Special Defense 1Combat Stage on 17+."
Shadow Bone,EOT,2,Ghost,2d10+10 ,Phys,"Melee, 1 Target","The target's Defense is lowered by 1 CombatStage on a 17+."
Shadow Claw,EOT,2,Ghost,2d6+10 ,Phys,"Melee, Pass","Shadow Claw is a Critical Hit on 18+."
Shadow Fangs,EOT,3,Ghost,2d6+10 ,Phys,"Melee, 1 Target","Shadow Fangs curses the target on a roll of 19+"
Shadow Force,Daily x3,2,Ghost,3d12+10 ,Phys,"","Melee, 1 Target, Set-Up"
Shadow Punch,EOT,/,Ghost,2d6+8 ,Phys,"6, 1 Target","Shadow Punch cannot miss."
Shadow Sneak,At-Will,2,Ghost,1d8+6 ,Phys,"Melee, 1 Target, Priority","None."
Shadow Specter,Scene x2,3,Ghost,3d8+10 ,Spec,"6, 1 Target","On 13+ , target is trapped in a shadow realm, preventing him to use non damaging moves (whiletrapped cannot shift for 3 rounds) . On 19+ , target Sp. Def is lowered by 1."
Spectral Blade,EOT,/,Ghost,2d10+10 ,Phys,"Melee, 1 Target","Spectral Blade cannot misss."
Spectral Thief,Scene,2,Ghost,2d10+10 ,Phys,"Melee, 1 Target","Before rolling damage, transfer all CombatStages on the target to the user."
Spirit Shackle,EOT,2,Ghost,2d8+10 ,Phys,"8, 1 Target","The Target is Trapped for 2 rounds."
Spook,At-Will,2,Ghost,1d8+6 ,Spec,"4, 1 Target","Lower the target's Special Defenseby -1 Combat Stage on 18+"
Confuse Ray,Scene x2,2,Ghost,,Status,"6, 1 Target","The target is Confused."
Curse,See Text,/,Ghost,,Status,"Self","If the user is not a Ghost Type, Curse has aFrequency of EOT, and when used the user lowers itsSpeed by -1 Combat Stage, but raises Attack and Defenseby +1 Combat Stage each. If the user is a Ghost Type,Curse has a Frequency of Scene, and when used the userloses 1/3rd of their Max Hit Points and a target pokemonor Trainer within 8 meters of the user becomes Cursed.This Hit Point loss cannot be prevented in any way."
Destiny Bond,EOT,/,Ghost,,Status,"Burst 10, Friendly","All enemy targets in the burst become Bound tothe user until the end of the user's next turn. If a Boundtarget causes the user to Faint through a DamagingAttack, the Bound target immediately faints after theirattack is resolved."
Grudge,Daily,/,Ghost,,Status,"6, 1 Target, Interrupt","You may use Grudge as an Interrupt when aDamaging Attack causes the user to faint. Grudgeis activated as a Free Action (does not take up aCommand). The attack is resolved as usual, andthe user Faints. The attacker that caused the user toFaint becomes Suppressed for the remainder of theencounter; switching and Taking a Breather does notend Suppression when used this way."
Night Shade,Scene x2,2,Ghost,,Spec,"8, 1 Target","The target loses Hit Points equal to the level ofNight Shade's user. Do not apply weakness or resistance.Do not apply stats."
Nightmare,Scene x2,2,Ghost,,Status,"Melee, 1 Target","Nightmare can only hit Legal Targets that areAsleep. The target gains Bad Sleep."
Spite,Scene,/,Ghost,,Status,"1 Target, Trigger","Spite may be used as a Free Action that does nottake up a Command whenever the user is hit by a Move.That Move becomes Disabled for the attacker."
Trick-or-Treat,Daily,2,Ghost,,Status,"6, 1 Target","The target gains the Ghost Type in addition to itsother Types for 5 turns."
Absorb,At-Will,2,Grass,1d6+3 ,Spec,"4, 1 Target","After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget."
Seasonal Horn,Scene x2,/,Grass,,Phys,"","Effect:Spring Form:Seasonal Strike heals the user by half of the damage dealt.:Summer Form:Seasonal Strike has a Burns on 15+.Autumn Form:Seasonal Strike raises user defense by +1 CS on 15+.:"
Ancient Leaf,Scence x2,4,Grass,2d8+10 ,Spec,"4, 1 Target","Increase SP Def by 1 combat stage on roll of 7 , 11 , 15 or 20."
Apple Acid,EOT,2,Grass,2d8+10 ,Spec,"Cone 2","The target's Special Defense is lowered by 1CS."
Artillerolives,EOT,3,Grass,1d8+8 ,Spec,"4, 2 Targets; or 4, 1 Target (seetext)","Once per Scene, you may createSlick Hazards in two Blasts 3, anywherewithin range. If used on only 1 target, thisMove gains the Double Strike keyword, andif Slick Hazards are created, you may createthem in a single Blast 5, centered on thetarget."
Branch Poke,At-Will,2,Grass,1d8+6 ,Phys,"","2, 1 Target"
Bullet Seed,EOT,4,Grass,1d6+5 ,Phys,"6, 1 Target, Five Strike","None"
Chloroblast,Daily,3,Grass,3d12+10 ,Spec,"Line 8, Smite, Spirit Surge","The user's Hit Points are reduced by 50% oftheir full Hit Point value. This Hit Point loss cannot beprevented or reduced in any way."
Drum Beating,EOT,2,Grass,2d8+10 ,Phys,"4, 1 Target","The target's Speed is lowered by 1 CS."
Energy Ball,EOT,2,Grass,2d10+10 ,Spec,"8, 1 Target","Energy Ball lowers the foe's Special Defense 1Combat Stage on 17+."
Fern Wall,Daily,/,Grass,,PStatus,"Self","Heal 1/4 of maximum hit points. Increase DEF and SP. DEF by 1 combat stage"
Flower Trick,EOT,/,Grass,2d6+10,Phys,"Melee, 1 Target","Flower Trick cannot miss. If Flower Trick h"
Frenzy Plant,Daily x2,4,Grass,4d10+20 ,Spec,"3, 5 Targets, Smite, Exhaust","None"
Giga Drain,Scene x2,2,Grass,2d8+10 ,Spec,"6, 1 Target","After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget."
Grass Knot,EOT,2,Grass,,Spec,"5, 1 Target, Weight Class","Grass Knot's Damage Base is equal to twice thetarget's Weight Class."
Grass Pledge,Scene,2,Grass,2d8+10 ,Spec,"6, 1 Target, Pledge","If an ally uses Fire Pledge or Water Pledge,you may use Grass Pledge as Priority (Advanced)immediately after their turn to target the same foe. Ifused in conjunction with Fire Pledge, Fire Hazardsare created in a Burst 1 around the target. If used inconjunction with Water Pledge, the target and all foesadjacent to the target are slowed and have their Speedreduced by 2 Combat Stages. Consult the Pledgekeyword for additional details."
Grassy Glide,EOT,2,Grass,2d6+10 ,Phys,"Melee, Pass, Spirit Surge","If the user is on Grassy Terrain, Grassy Glidemay be used with Priority. After Grassy Glide has beenresolved, the user may choose to create GrassyTerrain in the spaces Passed over (including those itstarted and ended in), that lasts for 5 turns. Anycreatures in those spaces are affected as if by theField Move Grassy Terrain, rather than any other FieldMove."
Grav Apple,EOT,2,Grass,2d8+10 ,Phys,"6, 1 Target","The target's Defense is lowered by 1 CS."
Guardian's Grove,EOT,/,Grass,,Phys,"","Guardian's Grove lowers opponent's Speed on 18+ if used on grassy terrain lowers speed on 16+instead"
Horn Leech,Scene x2,2,Grass,2d8+10 ,Phys,"Melee, 1 Target, Dash","After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget."
Leaf Blade,EOT,2,Grass,2d10+10 ,Phys,"Melee, Pass","Leaf Blade is a Critical Hit on 18+."
Leaf Storm,Scene,4,Grass,4d10+10 ,Spec,"8, Ranged Blast 3, Smite","Lower the user's Special Attack 2 Combat Stagesafter damage."
Leaf Tornado,EOT,4,Grass,2d6+10 ,Spec,"6, Ranged Blast 3","Small or Medium targets in the central square ofthe blast are not hit. On 15+, all legal targets have theirAccuracy lowered by -1."
Leafage,At-Will,2,Grass,1d8+6 ,Phys,"","6, 1 Target"
Magical Leaf,EOT,/,Grass,2d6+8 ,Spec,"8, 1 Target","Magical Leaf cannot miss."
Mega Drain,At-Will,2,Grass,1d8+6 ,Spec,"6, 1 Target","After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget."
Needle Arm,At-Will,2,Grass,2d6+8 ,Phys,"Melee, 1 Target","Needle Arm Flinches the target on 15+."
Mould,EOT,2,Grass,2d6+10 ,Spec,"6, 1 Target","Once a Scene, if Mould's target has a StatusAffliction, you may have Mould's Damage Base be 13instead (4d10+10 / 35)."
Overgrowth,EOT,/,Grass,,Status,"Self","Raise the user's Defense 1 Combat Stage andraise the user's Special Defense 1 Combat Stage."
Petal Blizzard,EOT,2,Grass,2d10+10 ,Phys,"Burst 1","None."
Petal Dance,Scene x2,3,Grass,3d12+10 ,Spec,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enragedand Confused."
Power Whip,Scene x2,5,Grass,3d12+10 ,Phys,"8, 1 Target, Smite","None"
Quick Leaf Cutter,EOT,2,Grass,2d6+10 ,Phys,"Melee , 1 target , Priority","None"
Razor Leaf,At-Will,4,Grass,2d6+8 ,Phys,"Cone 2","Razor Leaf is a Critical Hit on 18+."
Seed Bomb,At-Will,2,Grass,2d8+10 ,Phys,"8, 1 Target","None"
Seed Flare,Scene,5,Grass,3d12+10 ,Spec,"6, Ranged Blast 3","All Legal Targets have their Special Defenselowered 1 Combat Stage."
Seed Storm,Scence x2,4,Grass,2d10+10 ,Spec,"Range 4 , 1 target","On 18+ , plant a seed into the target that steals 1 tick of hit points every turn. If weather issunny the move gain +2 AC and the seed is planted on 15+. If weather is rainy , the move cannotplant a seed but crits on 15+."
Snap Trap,Scene x2,2,Grass,1d8+6 ,Phys,"Melee, 1 Target","The target is trapped in a Vortex. The DC toescape the Vortex is increased by 3."
Solar Beam,Scene x2,2,Grass,3d12+10 ,Spec,"","Line 6, 1 Target, Set-Up"
Solar Blade,Scene x2,2,Grass,4d10+10 ,Phys,"Melee, 1 Target, Set UpSet-Up","The user attacks with Solar Blade. If theweather is Rainy, Sandstorming,New Moon or Hailing, SolarBlade's Damage Base is lowered to 6 (2d6+8 / 15)."
Sour Strike,At-Will,3,Grass,2d8+10 ,Phys,"Melee, 1 Target, Smite",""
Sweet Blast,At-Will,3,Grass,2d6+8 ,Spec,"Range 4, cone 2",""
Trailblaze,At-Will,2,Grass,1d8+8 ,Phys,"Melee, 1 Target, Dash","Raise the user's Speed 1 Combat Stage."
Trop Kick,EOT,2,Grass,2d6+10 ,Phys,"Melee, 1 Target","The target receives a -5 penalty to damagerolls for 1 round."
Verdant Edge,Scene x2,/,Grass,,Phys,"","If the move successfully hits the target, the user's Speed is increased by 1 Combat Stage.Additionally, if the user's HP is below half, this move gains +2 to its Accuracy Check."
Vine Whip,At-Will,2,Grass,1d8+6 ,Phys,"4, 1 Target","None"
Wood Hammer,Scene x2,2,Grass,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","None"
Aromatherapy,Scene,/,Grass,,Status,"Burst 1","All allies in the burst are cured of one statuscondition of their choice."
Cotton Guard,Scene,/,Grass,,Status,"Self","Raise the user's Defense 3 Combat Stages."
Cotton Spore,EOT,2,Grass,,Status,"Burst 1, Powder","All Legal Targets have their Speed lowered 2Combat Stages."
Forest's Curse,Daily,2,Grass,,Status,"6, 1 Target","The target gains the Grass Type in addition to itsother Types for 5 turns."
Gaia Growth,Daily,/,Grass,,Status,"Self","User heal ¼ of max hit points, and raises ATK and SP. ATK by 1 combat stage under the sun userraises ATK and SP. ATK by 2 combat stages instead."
Grass Whistle,Scene x2,6,Grass,,Status,"6, 1 Target, Sonic","The target falls Asleep."
Grassy Terrain,Daily x2,/,Grass,,Status,"Field","The area becomes Grassy for 5 rounds. WhileGrassy, all pokémon and Trainers standing on theground recover a Tick of Hit Points at the start of everyturn, and Grass-Type attacks performed by groundedpokémon and Trainers gain a +10 bonus to DamageRolls."
Ingrain,Scene,/,Grass,,Status,"Self, Coat","Ingrain applies a Coat to the user, which has thefollowing effect; the user cannot be pushed or pulled,and cannot be switched out. At the beginning of each ofthe user's turn, the user gains a Tick of Hit Points."
Jungle Healing,Daily x2,/,Grass,,Status,"Burst 1","The user and any allies in the burst regain HitPoints equal to 1/4 of their Maximum Hit Point Value,and are cured of any Persistent or Volatile StatusConditions."
Leech Seed,Daily x2,4,Grass,,Status,"6, 1 Target","At the beginning of each of the target's turns,Leech Seed's target loses a Tick of Hit Points. LeechSeed's user then gains Hit Points equal to the amountthe target lost. Leech Seed lasts until the target faintsor is returned to a Poké Ball. Grass Types and targetsimmune to Grass Attacks are immune to Leech Seed."
Sleep Powder,Scene x2,6,Grass,,Status,"4, 1 Target, Powder","The target falls asleep."
Summer Flourish,Scene,/,Grass,,Status,"Self","Effect:The user may not shift this round. The user may create as many squares of Rough Terrain as itwants within a Burst 3 as plants burst through the ground, regardless of the surface material. If theweather is sunny or light terrain is on the field , apply set up effect immediately instead of nextturn. Resolution Effect:The user raises its Special Attack, Special Defense, and Speed by 2 Combat Stages:"
Spicy Extract,Scene x2,/,Grass,,Status,"Self, 4, 1 Target",""
Spiky Shield,Scene,/,Grass,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may useSpiky Shield. The user is instead not hit by the Move.You do not take any damage nor are you affected by anyof the Move's effects. In addition, if the triggering attackwas Melee ranged, the attacker loses a Tick of Hit Points."
Spore,Scene,/,Grass,,Status,"4, 1 Target, Powder","The target falls Asleep."
Strength Sap,Daily x2,2,Grass,,Status,"Melee, 1 Target","The user gains Hit Points equal to the higher ofthe target's Attack or Special Attack; the target thenloses 1 Combat Stage in that Stat."
Stun Spore,Scene x2,6,Grass,,Status,"6, 1 Target, Powder","The target is Paralyzed."
Synthesis,Daily x2,/,Grass,,Status,"Self","The user regains Hit Points equal to half of itsfull Hit Point value. If it is Sunny, the user gains 2/3 of itsfull Hit Point value instead. If it is Rainy, Sand Stormingor Hailing the user gains 1/4 of their full Hit Point valueinstead."
Worry Seed,Scene,2,Grass,,Status,"8, 1 Target","You choose one of the target's Abilities. WorrySeed changes that Ability to Insomnia for the remainderof the encounter."
Bone Club,At-Will,5,Ground,2d6+10 ,Phys,"Melee, 1 Target","Bone Club Flinches the target on 18+."
Bone Rush,EOT,4,Ground,1d6+5 ,Phys,"Melee, 1 Target, Five Strike","None"
Bonemerang,EOT,3,Ground,1d8+8 ,Phys,"6, Double Strike","None"
Bulldoze,EOT,2,Ground,2d6+8 ,Phys,"Burst 1","All Legal Targets are lowered 1 Speed CombatStage."
Clayball,At-Will,3,Ground,1d8+6 ,Spec,"4, 1 Target, Dash Push","The user may push the target up to2 meters away."
Dig,EOT,2,Ground,2d8+10 ,Phys,"","Burst 1, Set-Up, Full Action, Groundsource"
Drill Run,At-Will,3,Ground,2d8+10 ,Phys,"Melee, 1 Target","Drill Run is a Critical Hit on 18+."
Earth Power,EOT,2,Ground,2d10+10 ,Spec,"6, 1 Target, Groundsource","Earth Power lowers the Special Defense of allLegal Targets 1 Combat Stage on 16+."
Earthquake,Scene,2,Ground,3d8+10 ,Phys,"Burst 3, Groundsource","Earthquake can hit targets that are underground,including those using the Move Dig."
Headlong Rush,Scene,2,Ground,3d8+10 ,Phys,"Melee, 1 Target, Smite, Reckless","The user's Defense and Special Defense areeach lowered by -1 Combat Stage.Headlong Rush may be used as a Free Action at theend of a Sprint Maneuver taken as a Standard Action,as long as the user Shifted at least 3 meters in astraight line towards the target. When used this way,Headlong Rush Trips the target on a hit."
High Horsepower,Scene x2,3,Ground,3d8+10 ,Phys,"Melee, 1 Target","High Horsepower may be used as a Free Actionat the end of a Sprint Maneuver taken as a StandardAction, as long as the user Shifted at least 3 meters ina straight line towards the target. When used thisway, High Horsepower gains Smite."
Land's Wrath,Scene x2,2,Ground,2d10+10 ,Phys,"Burst 5, Friendly, Groundsource","None."
Magnitude,,/,Ground,,Phys,"Burst 2, Groundsource","When you use Magnitude, roll 1d6. Magnitude’sDB is equal to 5+X, where X is the value ofthe d6. Magnitude can hit targets that are underground,including those using the Move Dig."
Mud Bomb,At-Will,4,Ground,2d6+10 ,Spec,"6, 1 Target","The target's Accuracy is lowered by -1 on 16+."
Mud Shot,At-Will,3,Ground,1d8+6 ,Spec,"4, 1 Target, Priority, Aura","If not used as a priority.The target's Speed is lowed by -1 Combat Stage."
Mud-Slap,At-Will,2,Ground,1d6+3 ,Spec,"3, 1 Target","The target's Accuracy is lowered by -1."
Mud Slide,Scene x2,4,Rock,2d8+10 ,Phys,"6, Ranged Blast 3, Groundsource","Mudslide Flinches all Legal Targets on 17+."
Precipice Blades,Scene x2,5,Ground,3d12+10 ,Phys,"Burst 1, Smite","None."
Sand Tomb,Scene x2,4,Ground,1d8+6 ,Phys,"5, 1 Target","The target is put in a Vortex."
Sand Shroud,Daily x1,/,,,Status,"","The user creates a dense cloud of dust and debris around itself, causing tremors that disruptopponents' accuracy. For the next 5 turns, all opposing Pokémon targeting the user have -3 Accuracy.Ifhit by an attack during the duration of the effect attacker must make a save check (12) if failedattacker is hit by Sand tomb as a quick action"
Sandstorm Sear,Scene,5,Ground,3d8+10 ,Spec,"6, Ranged Blast 3, Smite","The target is Burned on a 15+"
Scorching Sands,Scene x2,2,Ground,2d6+10 ,Spec,"5, 1 Target","Scorching Sands Burns the target on 15+."
Stomping Tantrum,EOT,2,Ground,2d8+10 ,Phys,"Melee, 1 Target","If the user's last attack failed or missed,Stomping Tantrum is DB 15 (4d10+10 / 45) instead."
Thousand Arrows,Scene,2,Ground,2d10+10 ,Phys,"6, 1 Target","When calculating Weakness and Resistance forThousand Arrows, Flying-Typed targets calculatedamage as if Flying was neutral to Ground. ThousandArrows ignores the Levitate ability. The target isknocked down to ground level, and loses all Sky orLevitate Speeds for 3 turns. During this time, they maybe hit by Ground-Type Moves even if normallyimmune."
Sandstorm Surge,Scene x2,2,Ground,1d8+6 ,Phys,"6, 1 Target","If the weather isn't sandstorm, Summons a sandstorm for 4 rounds, if the weather is sandstormdamage base is 9 instead and the next attack the user receives is resisted one step further."
Thousand Waves,Scene,2,Ground,2d10+10 ,Phys,"Burst 1, Groundsource","Legal Targets are Trapped for 2 rounds."
Fissure,Daily,6,Ground,,Phys,"","This Move automatically CriticallyHits targets at or below half of their Max HitPoints. After dealing damage, the targetbecomes Vulnerable for one full round."
Mud Sport,EOT,/,Ground,,Status,"Burst 2","All targets in the burst, including the user, gain aCoat which grants them 1 Step of Resistance to ElectricType Moves. After a target has been hit by a damagingElectric Type Move, the coat is removed."
Rototiller,Scene,/,Ground,,Status,"Burst 2","All Grass-type pokémon in the area raise theirAttack and Special Attack 1 Combat Stage."
Sand Attack,EOT,2,Ground,,Status,"2, 1 Target","The target is Blinded until the end of their nextturn."
Shore Up,,Daily x2,Ground,,Status,"Self","The user regains Hit Points equal to half of itsfull Hit Point value. If it is Sand Storming, the usergains 2/3 of its full Hit Point value instead. If it isSunny, Rainy or Hailing the user gains 1/4 of their fullHit Point value instead."
Spikes,At-Will,/,Ground,,Status,"6, Hazard","Set 8 square meters of Spikes within your range,all 8 meters must be adjacent with at least one otherspace of Spikes. Spikes cause terrain to count as SlowTerrain, and a grounded foe that runs into the hazardswill lose a Tick of Hit Points and become Slowed untilthe end of their next turn."
Aurora Beam,At-Will,2,Ice,2d6+10 ,Spec,"6, 1 Target","Aurora Beam lowers the target's Attack 1 CombatStage on 18+."
Aurora Pillar,Scene x2,4,Ice,2d10+10 ,Spec,"6, 1 Target","Aurora Pillar Blinds Target on 17+."
Avalanche,EOT,2,Ice,2d6+8 ,Phys,"Melee, 1 Target","When declaring Avalanche, the user doesnothing and may not Shift. At the end of the round, theuser Shifts and uses Avalanche on any legal target. If thetarget damaged the user this round, Avalanche has aDB of 12 (4d10+15 / 40) instead"
Blizzard,Scene x2,7,Ice,3d10+10 ,Spec,"4, Ranged Blast 2, Smite","Blizzard Freezes all legal target on 15+. If thetarget is in Hailing Weather, Blizzard cannot miss."
Freeze Shock,Scene,4,Ice,4d10+15 ,Phys,"","10, Single Target, Set-Up, Full Action"
Freeze-Dry,EOT,2,Ice,2d6+10 ,Spec,"6, 1 Target.","When calculating Weakness and Resistance forFreeze-Dry, Water-Typed targets calculate damage as ifWater was weak to Ice."
Frost Breath,EOT,3,Ice,2d6+8 ,Spec,"4, 1 Target","If Frost Breath hits, it is a Critical Hit."
Frost Shroud,EOT,2,Ice,2d10+10 ,Spec,"6, 1 Target, Spirit Surge","Frost Shroud frostbites to the target on 17+."
Frostwave Aria,Daily x2,5,Ice,3d12+10 ,Spec,"Burst 6, Friendly","On a roll of 15+ user and it's allies in the area of Frostwave Aria gain blessing, that can beused once to resist an attack one step further."
Glacial Lance,Daily,2,Ice,4d10+10 ,Phys,"Line 8, Smite","Legal targets hit by Glacial Lance are Stuck andTrapped until the end of their next turn."
Glaciate,EOT,3,Ice,2d6+10 ,Spec,"Burst 2","All Legal Targets have their Speed lowered 1Combat Stage. On an Even-Numbered Roll, all LegalTargets on the ground are Slowed."
Ice Ball,At-Will,4,Ice,1d6+5 ,Phys,"Melee, 1 Target","The user continues to use Ice Ball on each ofits turns until they miss any target with Ice Ball, orare not able to hit any target with Ice Ball during theirturn. Each successive use of Ice Ball increases Ice Ball’sDB by +3 to a maximum of DB 15."
Ice Beam,EOT,2,Ice,2d10+10 ,Spec,"4, 1 Target","Ice Beam Freezes on 19+ during AccuracyCheck."
Ice Breaker,Scene x2,2,Ice,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","None"
Ice Burn,Scene,4,Ice,4d10+15 ,Spec,"","10, Single Target, Set-Up, Full Action"
Ice Fang,At-Will,3,Ice,2d6+10 ,Phys,"Melee, 1 Target","Ice Fang Freezes or Flinches on 18+ duringAccuracy Check; flip a coin to determine whether thefoe gets Frozen or Flinches. On 20 during AccuracyCheck, the foe is Frozen and Flinches."
Ice Hammer,EOT,4,Ice,3d8+10 ,Phys,"Melee, 1 Target","The user's Speed is lowered by 1 CombatStage."
Ice Punch,At-Will,2,Ice,2d8+10 ,Phys,"Melee, 1 Target","Ice Punch Freezes the target on 19+ duringAccuracy Check."
Ice Shard,At-Will,2,Ice,1d8+6 ,Phys,"4, 1 Target, Priority","None"
Ice Spinner,At-Will,2,Ice,2d8+10 ,Phys,"Line 4","Legal targets hit by Ice Spinner are TrippePassed through or adjacent to those spaces areaffect the user). If the user moves through an arethose effects immediately end."
Icicle Crash,EOT,4,Ice,2d8+10 ,Phys,"6, 1 Target","Icicle Crash Flinches the target on 15+."
Icicle Spear,EOT,4,Ice,1d6+5 ,Phys,"6, 1 Target, Five Strike","None"
Icy Wind,EOT,3,Ice,2d6+8 ,Spec,"Cone 2","All Legal Targets have their Speed lowered 1Combat Stage."
Mountain Gale,EOT,5,Ice,3d8+10 ,Phys,"5, 1 Target","The target is Flinched on a 15+."
Powder Snow,At-Will,2,Ice,1d8+6 ,Spec,"Line 4","Powder Snow Freezes all Legal Targets on 19+."
Triple Axel,EOT,4,Ice,2d6+8 ,Phys,"Melee, 1 Target","After attacking with Triple Axel, hit or miss, theuser may Disengage 2m and attack a different targetwith Triple Axel. This effect may be repeated a secondtime, targeting a creature that has not been targetedby either prior attack. Before making each attack roll,the user can elect to give up triggering all remainingadditional shifts and attacks. Triple Axel gains +1Accuracy and +1 DB for each attack that is given up.Triple Axel always benefits from the TechnicianAbility."
Aurora Veil,Scene,/,Ice,,Status,"Blessing",""
Chilly Reception,At-Will,/,Ice,,Status,"Field","The weather is changed to Snowy for 5 tuin the same turn. A new pokémon may immediatTrapped user be recalled."
Hail,Daily x2,/,Ice,,Status,"Field, Weather","The weather changes to Hail for 5 rounds. Whileit is Hailing, all non-Ice Type pokémon lose a Tick ofHit Points at the beginning of their turn."
Haze,Scene x2,/,Ice,,Status,"Field","The Combat Stages of the user and all pokémonand Trainers in the encounter are set to their defaultstate (usually 0)."
Mist,Scene x2,/,Ice,,Status,"Blessing","Effect:Blessing:Any user affected by Mist may activateit when having Combat Stages lowered by any effect; ifthey do, those Combat Stages are instead not lowered.Mist may be activated 3 times, and then disappears.:"
Sheer Cold,Daily,6,Ice,3d12+10 ,Spec,"4, 1 Target, Execute","When calculating Weakness and Resistance forSheer Cold, Water-Typed targets calculate damage as ifWater was weak to Ice. This Move automatically CriticallyHits targets at or below half of their Max HitPoints. After dealing damage, the targetbecomes Vulnerable for one full round."
Skyfreeze,Scene x2,4,Ice,2d10+10 ,Spec,"6, 1 Target","On 15+ , user coats itself in a Protective Ice, healing 1 tick of hit points each turn for 5turns."
Snowscape,Daily x2,/,Ice,,Status,"Field, Weather","The weather changes to Snowy for 5 roungain +5 Damage Reduction"
Freez Wall,Daily x1,/,Ice,,Status,"Self, Interrupt","For the next 3 turns user resist all moves one step further. Also increases user Special DefenseBy 1 CS."
Morph,Daily,/,Normal,,Status,"Self","The user uses the move Transform. Afterresolving the effects of Transform, the user copiesthe target's Type(s). If the user is now single typed, itmay either change that type, or add a second type ofits choice. If the user is now double typed, it mayremove one of those types, or change one of thosetypes. These changes last until the end of the Scene,or the user changes Types again."
Barrage,At-Will,4,Normal,1d6+3 ,Phys,"6, 1 Target, Five Strike","None"
Body Slam,Scene x2,2,Normal,2d10+10 ,Phys,"Melee, 1 Target","Body Slam Paralyzes the target on 15+."
Boomburst,Scene,2,Normal,4d10+15 ,Spec,"Burst 1, Sonic","None"
Chip Away,EOT,2,Normal,2d6+10 ,Phys,"Melee, 1 Target","Ignore any Armor, Damage Reduction, orchanges in the target's Defense or Special Defense (suchas from Combat Stages) when calculating damage."
Comet Punch,At-Will,4,Normal,1d6+3 ,Phys,"Melee, 1 Target, Five Strike","None"
Constrict,At-Will,2,Normal,1d6+1 ,Phys,"Melee, 1 Target","Constrict lowers the target's Speed 1 CombatStage. Constrict may be used as a Swift Action againsttargets the user is Grappling, and automatically hitswhen performed this way."
Crush Claw,EOT,3,Normal,2d6+10 ,Phys,"Melee, 1 Target, Dash","Crush Claw lowers the target's Defense 1 CombatStage on Even-Numbered Rolls."
Crush Grip,Scene,2,Normal,3d12+10 ,Phys,"Melee, 1 Target","For every 10% the target is below their full HitPoints, Crush Grip's Damage Base is reduced by 1."
Cut,At-Will,3,Normal,1d8+8 ,Phys,"Melee, Pass","Cut ignores up to 5 Damage Reduction (Defensesare not Damage Reduction)."
